"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua caio pereira";"375";"apto 1001 edf luar do rosarinho";"480000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,64";"0,02518";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-01-28";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2016";"1"
"rua caio pereira";"375";"apto 1302 edf luar do rosarinho";"460000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"132,11";"0,027";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-02-03";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2016";"1"
"rua caio pereira";"334";"apto 102 edf essenza rosarinho";"756022.93";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-14";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2016";"1"
"rua caio pereira";"334";"apto 602 edf essenza rosarinho";"800000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-03-23";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2016";"1"
"rua caio pereira";"334";"apto 701 edf essenza rosarinho";"778703.62";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-21";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2016";"1"
"rua caio pereira";"334";"apto 702 edf essenza rosarinho";"800000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-04-07";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2016";"1"
"rua caio pereira";"334";"apto 1701 edf essenza rosarinho";"853065.74";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-14";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2016";"1"
"rua caio pereira";"390";"apto 602 edf acantis";"700000.00";"Encruzilhada";"Recife";"PE";"2005";"1147,48";"174,33";"0,02741";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-02-19";"Bom";"Apartamento";"0.00";"13269";"-8.03539";"-34.896343";"2016";"1"
"rua doutor jose maria";"578";"apto 1202 edf praia de ceres";"500000.00";"Encruzilhada";"Recife";"PE";"2002";"861,0";"184,77";"0,03333";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-21";"Bom";"Apartamento";"175000.00";"36196";"-8.035868";"-34.89625";"2016";"1"
"rua doutor jose maria";"600";"apto 404 edf maria rosa";"600000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-11-08";"Bom";"Apartamento";"432000.00";"36196";"-8.035672";"-34.896615";"2016";"1"
"rua doutor jose maria";"600";"apto 501 edf maria rosa";"600000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-03-18";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2016";"1"
"rua doutor jose maria";"600";"apto 904 edf maria rosa";"556000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,57";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-31";"Bom";"Apartamento";"250000.00";"36196";"-8.035672";"-34.896615";"2016";"1"
"rua doutor jose maria";"600";"apto 3001 edf maria rosa";"610000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-04-26";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2016";"1"
"rua doutor jose maria";"658";"apto 3001 edf casa rosada";"1200000.00";"Encruzilhada";"Recife";"PE";"2010";"3090,5";"244,73";"0,01401";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-07-01";"Bom";"Apartamento";"0.00";"36196";"-8.035419";"-34.897024";"2016";"1"
"rua doutor jose maria";"658";"apto 3102 edf casa rosada";"1200000.00";"Encruzilhada";"Recife";"PE";"2010";"3090,5";"244,73";"0,01401";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-22";"Bom";"Apartamento";"0.00";"36196";"-8.035419";"-34.897024";"2016";"1"
"rua doutor jose maria";"512";"apto 101 privilege rosarinho";"375943.43";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-21";"Bom";"Apartamento";"175943.42";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 201 privilege rosarinho";"365000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-05-25";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 203 privilege rosarinho";"427950.01";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"98,45";"0,01129";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-21";"Bom";"Apartamento";"264000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 504 privilege rosarinho";"530000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-09";"Bom";"Apartamento";"155938.05";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 204 privilege rosarinho";"519720.75";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-06";"Bom";"Apartamento";"251464.29";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 302 privilege rosarinho";"500000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-10-28";"Bom";"Apartamento";"315000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 404 privilege rosarinho";"546656.09";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-09";"Bom";"Apartamento";"360000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 602 privilege rosarinho";"494000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-22";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 604 privilege rosarinho";"535208.20";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-11-09";"Bom";"Apartamento";"138000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 702 privilege rosarinho";"514193.39";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-23";"Bom";"Apartamento";"402750.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 704 privilege rosarinho";"535567.16";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-06-03";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1001 privilege rosarinho";"383323.07";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-02";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1004 privilege rosarinho";"549021.76";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-29";"Bom";"Apartamento";"295288.70";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1101 privilege rosarinho";"385200.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-11-18";"Bom";"Apartamento";"237073.50";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1305 privilege rosarinho";"407185.82";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-06-08";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1304 privilege rosarinho";"500000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-09";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1403 privilege rosarinho";"428526.90";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"98,45";"0,01129";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-06-03";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1402 privilege rosarinho";"500000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-06-03";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1404 privilege rosarinho";"500000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-14";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 1502 privilege rosarinho";"552502.02";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-26";"Bom";"Apartamento";"212923.75";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 103 privilege rosarinho";"412646.36";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"98,45";"0,01129";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-10-14";"Bom";"Apartamento";"276000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 104 privilege rosarinho";"514021.36";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-09";"Bom";"Apartamento";"344000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 105 privilege rosarinho";"365256.55";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-09-15";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 303 privilege rosarinho";"398000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"98,45";"0,01129";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-11-18";"Bom";"Apartamento";"246711.58";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 305 privilege rosarinho";"394094.66";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-10-18";"Bom";"Apartamento";"190579.43";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 401 privilege rosarinho";"393365.99";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-08-10";"Bom";"Apartamento";"100000.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 402 privilege rosarinho";"485870.43";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-07-04";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 405 privilege rosarinho";"395000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-12-01";"Bom";"Apartamento";"269370.36";"36196";"-8.035969";"-34.895826";"2016";"1"
"rua doutor jose maria";"512";"apto 502 privilege rosarinho";"440000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"122,37";"0,01403";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2016-05-20";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2016";"1"
