logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
rua belmiro correa;59;apto 301 edf. jardim monet;974142,38;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-19;Bom;Apartamento;700000,00;10715;-8.035535;-34.896122;2026
rua belmiro correa;59;apto 302 edf. jardim monet;1000000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-01;Bom;Apartamento;0,00;10715;-8.035535;-34.896122;2026
rua doutor jose maria;578;apto 0501 edf praia de ceres;751543,40;Encruzilhada;Recife;PE;2002;861;184,77;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-21;Bom;Apartamento;0,00;36196;-8.035868;-34.89625;2026
rua doutor jose maria;600;apto 901 edf maria rosa;700000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-08-06;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2026
rua doutor jose maria;600;apto 1003 edf maria rosa;619816,40;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-25;Bom;Apartamento;295289,75;36196;-8.035672;-34.896615;2026
rua doutor jose maria;600;apto 304 edf maria rosa;650000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-10;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2026
rua doutor jose maria;658;apto 901 edf casa rosada;2000000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-02;Bom;Apartamento;1200000,00;36196;-8.035419;-34.897024;2026
rua doutor jose maria;658;apto 1501 edf casa rosada;1800000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-18;Bom;Apartamento;849300,00;36196;-8.035419;-34.897024;2026
rua doutor jose maria;512;apto 305 privilege rosarinho;600000,00;Encruzilhada;Recife;PE;2016;1619,23;100,79;0,01156;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-24;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2026
rua doutor jose maria;512;apto 303 privilege rosarinho;600000,00;Encruzilhada;Recife;PE;2016;1619,23;98,45;0,0113;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-30;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2026
rua doutor jose maria;512;apto 1005 privilege rosarinho;462289,26;Encruzilhada;Recife;PE;2016;1619,23;100,79;0,01156;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-09;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2026
rua andre reboucas;90;apto 0201 edf jose carlos;200000,00;Rosarinho;Recife;PE;1964;521,05;96,8;0,16667;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2026-04-15;Bom;Apartamento;0,00;4928;-8.032877;-34.897456;2026
rua andre reboucas;106;apto 304 edf bellagio residence;260000,00;Rosarinho;Recife;PE;2015;610,36;58,86;0,02133;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-23;Bom;Apartamento;208000,00;4928;-8.032817;-34.897594;2026
rua andre reboucas;118;apto 0101 edf ana lopes;343078,21;Rosarinho;Recife;PE;1974;748,85;144,15;0,07636;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-12;Bom;Apartamento;0,00;4928;-8.032759;-34.897729;2026
rua regueira costa;368;;490000,00;Rosarinho;Recife;PE;1998;364;146,81;1;Simples;Casa;RESIDENCIAL;2026-01-22;Bom;Casa;0,00;57029;-8.032024;-34.898006;2026
rua engenheiro sampaio;126;apto 0021 edf alava;220000,00;Rosarinho;Recife;PE;1967;478;96,55;0,17347;Médio;Apartamento <= 4 Pavimentos;RESIDENCIAL;2026-06-01;Bom;Apartamento;0,00;53627;-8.033586;-34.897844;2026
rua andre reboucas;95;apto 801 edf istoria jorn fernando menezes;649790,20;Rosarinho;Recife;PE;2026;1040,72;125,46;0,01817;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-10;Bom;Apartamento;402000,00;4928;;;2026
rua andre reboucas;95;apto 102 edf istoria jorn fernando menezes;640442,96;Rosarinho;Recife;PE;2026;1040,72;144,48;0,01981;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-27;Bom;Apartamento;100000,00;4928;;;2026
