"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"av norte miguel arraes de alencar";"3081";"";"938127.63";"Encruzilhada";"Recife";"PE";"1943";"212,0";"172,8";"1,0";"Médio";"Loja <= 4 Pavimentos";"COMERCIAL SEM LIXO ORGANICO";"2022-05-19";"Bom";"Loja";"0.00";"46540";"-8.034174";"-34.896372";"2022";"1"
"rua caio pereira";"375";"apto 1001 edf luar do rosarinho";"400000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,64";"0,02518";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-02-08";"Bom";"Apartamento";"270000.00";"13269";"-8.034996";"-34.896187";"2022";"1"
"rua caio pereira";"375";"apto 1301 edf luar do rosarinho";"430000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"132,11";"0,027";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-02-04";"Bom";"Apartamento";"330000.00";"13269";"-8.034996";"-34.896187";"2022";"1"
"rua caio pereira";"341";"apto 0201 edf cristal";"280000.00";"Encruzilhada";"Recife";"PE";"1969";"504,0";"156,45";"0,16666";"Simples";"Apartamento <= 4 Pavimentos";"RESIDENCIAL";"2022-05-20";"Bom";"Apartamento";"0.00";"13269";"-8.034765";"-34.896514";"2022";"1"
"rua caio pereira";"800";"apto 302 edf sainte juliana";"590000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-04-27";"Bom";"Apartamento";"0.00";"13269";"";"";"2022";"1"
"rua caio pereira";"800";"apto 901 edf sainte juliana";"710000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-12-05";"Bom";"Apartamento";"360000.00";"13269";"";"";"2022";"1"
"rua caio pereira";"800";"apto 901 edf sainte juliana";"710000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-12-12";"Bom";"Apartamento";"360000.00";"13269";"";"";"2022";"1"
"rua caio pereira";"800";"apto 502 edf sainte juliana";"600000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-01-18";"Bom";"Apartamento";"0.00";"13269";"";"";"2022";"1"
"rua caio pereira";"800";"apto 1901 edf sainte juliana";"715000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-12-30";"Bom";"Apartamento";"0.00";"13269";"";"";"2022";"1"
"rua caio pereira";"334";"apto 1501 edf essenza rosarinho";"1100000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2022-02-04";"Bom";"Apartamento";"691200.00";"13269";"-8.035095";"-34.896937";"2022";"1"
