"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua caio pereira";"375";"apto 1102 edf luar do rosarinho";"400000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,64";"0,02518";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-10-20";"Bom";"Apartamento";"292000.00";"13269";"-8.034996";"-34.896187";"2021";"1"
"rua caio pereira";"800";"apto 1103 edf sainte juliana";"553562.50";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-01-06";"Bom";"Apartamento";"377600.00";"13269";"";"";"2021";"1"
"rua caio pereira";"800";"apto 1201 edf sainte juliana";"610000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-04-27";"Bom";"Apartamento";"440000.00";"13269";"";"";"2021";"1"
"rua caio pereira";"800";"apto 503 edf sainte juliana";"537502.64";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-09-08";"Bom";"Apartamento";"0.00";"13269";"";"";"2021";"1"
"rua caio pereira";"800";"apto 603 edf sainte juliana";"620000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-05-24";"Bom";"Apartamento";"0.00";"13269";"";"";"2021";"1"
"rua caio pereira";"800";"apto 1902 edf sainte juliana";"680000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-12-15";"Bom";"Apartamento";"400000.00";"13269";"";"";"2021";"1"
"rua caio pereira";"800";"apto 1602 edf sainte juliana";"650000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-10-13";"Bom";"Apartamento";"0.00";"13269";"";"";"2021";"1"
"rua caio pereira";"334";"apto 902 edf essenza rosarinho";"671292.27";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-10-27";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2021";"1"
"rua caio pereira";"334";"apto 2601 edf essenza rosarinho";"29613.33";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-03-10";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2021";"1"
"rua caio pereira";"334";"apto 2601 edf essenza rosarinho";"820000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-01-27";"Bom";"Apartamento";"84420.00";"13269";"-8.035095";"-34.896937";"2021";"1"
"rua caio pereira";"334";"apto 2402 edf essenza rosarinho";"1050000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-10-09";"Bom";"Apartamento";"760000.00";"13269";"-8.035095";"-34.896937";"2021";"1"
"rua caio pereira";"390";"apto 1001 edf acantis";"630000.00";"Encruzilhada";"Recife";"PE";"2005";"1147,48";"179,0";"0,02814";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-06-22";"Bom";"Apartamento";"340000.00";"13269";"-8.03539";"-34.896343";"2021";"1"
"rua caio pereira";"390";"apto 1201 edf acantis";"620000.00";"Encruzilhada";"Recife";"PE";"2005";"1147,48";"179,0";"0,02814";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-03-16";"Bom";"Apartamento";"0.00";"13269";"-8.03539";"-34.896343";"2021";"1"
"rua belmiro correa";"59";"apto 1302 edf. jardim monet";"827815.90";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-06-09";"Bom";"Apartamento";"0.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 1302 edf. jardim monet";"827815.90";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-06-09";"Bom";"Apartamento";"0.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 102 edf. jardim monet";"801000.00";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-08-12";"Bom";"Apartamento";"260171.49";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 201 edf. jardim monet";"784318.87";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,89";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-07-06";"Bom";"Apartamento";"0.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 502 edf. jardim monet";"795949.83";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-09-14";"Bom";"Apartamento";"311868.52";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 601 edf. jardim monet";"799865.01";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-10-27";"Bom";"Apartamento";"549500.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 701 edf. jardim monet";"833000.00";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-09-28";"Bom";"Apartamento";"593825.31";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 801 edf. jardim monet";"807753.26";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-06-29";"Bom";"Apartamento";"0.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 802 edf. jardim monet";"807753.26";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-09-08";"Bom";"Apartamento";"0.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 1002 edf. jardim monet";"835000.00";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-07-27";"Bom";"Apartamento";"532168.30";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 901 edf. jardim monet";"811726.00";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-07-07";"Bom";"Apartamento";"599917.77";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 901 edf. jardim monet";"19044.67";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-07-12";"Bom";"Apartamento";"0.00";"10715";"-8.035535";"-34.896122";"2021";"1"
"rua belmiro correa";"59";"apto 1001 edf. jardim monet";"830000.00";"Encruzilhada";"Recife";"PE";"2021";"1509,37";"187,9";"0,01997";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2021-11-16";"Bom";"Apartamento";"300000.00";"10715";"-8.035535";"-34.896122";"2021";"1"
