"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua caio pereira";"375";"apto 201 edf luar do rosarinho";"343000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,64";"0,02518";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-07-17";"Bom";"Apartamento";"170000.00";"13269";"-8.034996";"-34.896187";"2017";"1"
"rua caio pereira";"375";"apto 1202 edf luar do rosarinho";"410000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"132,11";"0,027";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-30";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2017";"1"
"rua caio pereira";"375";"apto 1303 edf luar do rosarinho";"460000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"132,01";"0,02698";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-02-07";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2017";"1"
"rua caio pereira";"800";"apto 401 edf sainte juliana";"638510.11";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-14";"Bom";"Apartamento";"362275.92";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 501 edf sainte juliana";"623162.68";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-21";"Bom";"Apartamento";"362762.49";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 602 edf sainte juliana";"558400.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-08-18";"Bom";"Apartamento";"267593.54";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 801 edf sainte juliana";"691875.22";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-09-01";"Bom";"Apartamento";"518178.02";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 803 edf sainte juliana";"632883.26";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-28";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1202 edf sainte juliana";"665995.14";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-07-26";"Bom";"Apartamento";"450000.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1203 edf sainte juliana";"560143.07";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-11-22";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1301 edf sainte juliana";"563574.94";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-11-01";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1303 edf sainte juliana";"635000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-10-27";"Bom";"Apartamento";"400000.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1401 edf sainte juliana";"600185.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-11-22";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1502 edf sainte juliana";"584998.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-09-20";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 2101 edf sainte juliana";"661612.70";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"158,97";"0,01678";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-10-20";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 902 edf sainte juliana";"555892.55";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-09-20";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 902 edf sainte juliana";"114338.63";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-12-15";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 502 edf sainte juliana";"653533.71";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-21";"Bom";"Apartamento";"440381.60";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1701 edf sainte juliana";"694024.56";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-14";"Bom";"Apartamento";"400000.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1801 edf sainte juliana";"680173.46";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-07-03";"Bom";"Apartamento";"503440.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1802 edf sainte juliana";"606356.97";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-11-01";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 2001 edf sainte juliana";"641200.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-12-20";"Bom";"Apartamento";"416010.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 2002 edf sainte juliana";"671267.65";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-21";"Bom";"Apartamento";"269950.53";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 2102 edf sainte juliana";"600000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-08-30";"Bom";"Apartamento";"0.00";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1501 edf sainte juliana";"665995.14";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-06-21";"Bom";"Apartamento";"416302.14";"13269";"";"";"2017";"1"
"rua caio pereira";"800";"apto 1602 edf sainte juliana";"617800.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2017-11-23";"Bom";"Apartamento";"285000.00";"13269";"";"";"2017";"1"
