"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua caio pereira";"375";"apto 303 edf luar do rosarinho";"400412.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,55";"0,02516";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-01-16";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2019";"1"
"rua caio pereira";"331";"";"1138000.00";"Encruzilhada";"Recife";"PE";"2000";"537,5";"390,89";"1,0";"Médio";"Casa";"COMERCIAL COM LIXO ORGANICO";"2019-12-11";"Bom";"Casa";"0.00";"13269";"-8.034716";"-34.896612";"2019";"1"
"rua caio pereira";"800";"apto 602 edf sainte juliana";"560000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-07-17";"Bom";"Apartamento";"0.00";"13269";"";"";"2019";"1"
"rua caio pereira";"800";"apto 801 edf sainte juliana";"691875.22";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-11-08";"Bom";"Apartamento";"0.00";"13269";"";"";"2019";"1"
"rua caio pereira";"800";"apto 802 edf sainte juliana";"546000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-08-13";"Bom";"Apartamento";"155000.00";"13269";"";"";"2019";"1"
"rua caio pereira";"800";"apto 2101 edf sainte juliana";"650000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"158,97";"0,01678";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-04-25";"Bom";"Apartamento";"0.00";"13269";"";"";"2019";"1"
"rua caio pereira";"800";"apto 1603 edf sainte juliana";"567311.66";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-08-26";"Bom";"Apartamento";"175000.00";"13269";"";"";"2019";"1"
"rua caio pereira";"800";"apto 1703 edf sainte juliana";"630000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-11-05";"Bom";"Apartamento";"440000.00";"13269";"";"";"2019";"1"
"rua caio pereira";"800";"apto 1803 edf sainte juliana";"572906.47";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-11-05";"Bom";"Apartamento";"0.00";"13269";"";"";"2019";"1"
"rua caio pereira";"334";"apto 1402 edf essenza rosarinho";"688000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-12-06";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2019";"1"
"rua caio pereira";"334";"apto 1501 edf essenza rosarinho";"691349.58";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-08-20";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2019";"1"
"rua caio pereira";"334";"apto 2601 edf essenza rosarinho";"30000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-09-12";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2019";"1"
"rua caio pereira";"334";"apto 702 edf essenza rosarinho";"700000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-08-12";"Bom";"Apartamento";"0.00";"13269";"-8.035095";"-34.896937";"2019";"1"
"rua caio pereira";"334";"apto 2402 edf essenza rosarinho";"850000.00";"Encruzilhada";"Recife";"PE";"2011";"1737,63";"183,6";"0,01923";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-04-05";"Bom";"Apartamento";"680000.00";"13269";"-8.035095";"-34.896937";"2019";"1"
"rua doutor jose maria";"578";"apto 0702 edf praia de ceres";"430000.00";"Encruzilhada";"Recife";"PE";"2002";"861,0";"184,77";"0,03333";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-11-08";"Bom";"Apartamento";"300000.00";"36196";"-8.035868";"-34.89625";"2019";"1"
"rua doutor jose maria";"578";"apto 0802 edf praia de ceres";"450000.00";"Encruzilhada";"Recife";"PE";"2002";"861,0";"184,77";"0,03333";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-11-14";"Bom";"Apartamento";"0.00";"36196";"-8.035868";"-34.89625";"2019";"1"
"rua doutor jose maria";"578";"apto 1102 edf praia de ceres";"550000.00";"Encruzilhada";"Recife";"PE";"2002";"861,0";"184,77";"0,03333";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-10-09";"Bom";"Apartamento";"400000.00";"36196";"-8.035868";"-34.89625";"2019";"1"
"rua doutor jose maria";"600";"apto 1103 edf maria rosa";"421000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"111,89";"0,00754";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-11-11";"Bom";"Apartamento";"80000.00";"36196";"-8.035672";"-34.896615";"2019";"1"
"rua doutor jose maria";"600";"apto 1404 edf maria rosa";"523861.79";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-06-28";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2019";"1"
"rua doutor jose maria";"600";"apto 2104 edf maria rosa";"542167.88";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-12-13";"Bom";"Apartamento";"190000.00";"36196";"-8.035672";"-34.896615";"2019";"1"
"rua doutor jose maria";"658";"apto 102 edf casa rosada";"1050000.00";"Encruzilhada";"Recife";"PE";"2010";"3090,5";"244,73";"0,01401";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-03-13";"Bom";"Apartamento";"610000.00";"36196";"-8.035419";"-34.897024";"2019";"1"
"rua doutor jose maria";"658";"apto 602 edf casa rosada";"1350000.00";"Encruzilhada";"Recife";"PE";"2010";"3090,5";"244,73";"0,01401";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-04-10";"Bom";"Apartamento";"450000.00";"36196";"-8.035419";"-34.897024";"2019";"1"
"rua doutor jose maria";"512";"apto 801 privilege rosarinho";"385000.00";"Encruzilhada";"Recife";"PE";"2016";"1619,23";"100,79";"0,01156";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-08-22";"Bom";"Apartamento";"0.00";"36196";"-8.035969";"-34.895826";"2019";"1"
"rua engenheiro sampaio";"68";"apto 101 splendid rosarinho";"220000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-02-01";"Bom";"Apartamento";"170000.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 604 splendid rosarinho";"237500.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-12-16";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 1505 splendid rosarinho";"403981.26";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-06-04";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 1201 splendid rosarinho";"250225.65";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-04-22";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 1201 splendid rosarinho";"222613.30";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-03-15";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 1302 splendid rosarinho";"445000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"COMERCIAL COM LIXO ORGANICO";"2019-08-29";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 403 splendid rosarinho";"224000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-12-26";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 1306 splendid rosarinho";"224000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-08-28";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua engenheiro sampaio";"68";"apto 1402 splendid rosarinho";"378859.09";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-06-18";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2019";"1"
"rua eng sampaio";"110";"apto 802 edf villa aguinaldo jurema";"710000.00";"Rosarinho";"Recife";"PE";"2016";"1084,52";"180,0";"0,025";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-12-13";"Bom";"Apartamento";"0.00";"53627";"";"";"2019";"1"
"rua eng sampaio";"110";"apto 802 edf villa aguinaldo jurema";"710000.00";"Rosarinho";"Recife";"PE";"2016";"1084,52";"180,0";"0,025";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2019-12-19";"Bom";"Apartamento";"0.00";"53627";"";"";"2019";"1"
