"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua doutor jose maria";"600";"apto 1401 edf maria rosa";"480000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-01-09";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"600";"apto 1703 edf maria rosa";"490000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"111,89";"0,00754";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-09-30";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"600";"apto 1802 edf maria rosa";"480000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"111,89";"0,00754";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-04-08";"Bom";"Apartamento";"365000.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"600";"apto 2001 edf maria rosa";"600000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-21";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"600";"apto 2303 edf maria rosa";"480000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"111,88";"0,00754";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-02-24";"Bom";"Apartamento";"100000.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"600";"apto 2701 edf maria rosa";"610000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"139,58";"0,00912";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-10-02";"Bom";"Apartamento";"0.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"600";"apto 3002 edf maria rosa";"490000.00";"Encruzilhada";"Recife";"PE";"2010";"2431,0";"111,89";"0,00754";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-02";"Bom";"Apartamento";"199980.00";"36196";"-8.035672";"-34.896615";"2015";"1"
"rua doutor jose maria";"430";"loja 0007";"120000.00";"Encruzilhada";"Recife";"PE";"1962";"580,0";"19,0";"0,04702";"Simples";"Loja <= 4 Pavimentos";"COMERCIAL SEM LIXO ORGANICO";"2015-11-26";"Bom";"Loja";"0.00";"36196";"-8.036396";"-34.895036";"2015";"1"
"rua doutor jose maria";"430";"loja 0008";"120000.00";"Encruzilhada";"Recife";"PE";"1962";"580,0";"19,0";"0,04702";"Simples";"Loja <= 4 Pavimentos";"COMERCIAL SEM LIXO ORGANICO";"2015-11-26";"Bom";"Loja";"0.00";"36196";"-8.036396";"-34.895036";"2015";"1"
"rua andre reboucas";"118";"apto 0402 edf ana lopes";"460000.00";"Rosarinho";"Recife";"PE";"1974";"748,85";"144,15";"0,07635";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-03-05";"Bom";"Apartamento";"0.00";"4928";"-8.032759";"-34.897729";"2015";"1"
"av santos dumont";"881";"apto 0202 edf ilha de cedros";"300000.00";"Rosarinho";"Recife";"PE";"1984";"1231,05";"97,88";"0,02755";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-02-25";"Bom";"Apartamento";"0.00";"53996";"-8.033767";"-34.896839";"2015";"1"
