"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"av norte miguel arraes de alencar";"3003";"apto d edf baby";"172000.00";"Encruzilhada";"Recife";"PE";"1955";"511,0";"102,11";"0,1489";"Simples";"Apartamento <= 4 Pavimentos";"RESIDENCIAL";"2020-03-13";"Regular";"Apartamento";"0.00";"46540";"-8.034668";"-34.896157";"2020";"1"
"rua caio pereira";"375";"apto 803 edf luar do rosarinho";"400000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"132,01";"0,02698";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-03-05";"Bom";"Apartamento";"240000.00";"13269";"-8.034996";"-34.896187";"2020";"1"
"rua caio pereira";"800";"apto 101 edf sainte juliana";"527689.27";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-02-20";"Bom";"Apartamento";"0.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 403 edf sainte juliana";"560000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-10-20";"Bom";"Apartamento";"231000.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 801 edf sainte juliana";"567833.74";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-10-26";"Bom";"Apartamento";"300000.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 801 edf sainte juliana";"546129.11";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-04-20";"Bom";"Apartamento";"0.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 1201 edf sainte juliana";"556954.05";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-01-24";"Bom";"Apartamento";"0.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 2003 edf sainte juliana";"578556.46";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-01-28";"Bom";"Apartamento";"0.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 202 edf sainte juliana";"530686.95";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-06-16";"Bom";"Apartamento";"0.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 903 edf sainte juliana";"570000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-10-07";"Bom";"Apartamento";"330200.00";"13269";"";"";"2020";"1"
"rua caio pereira";"800";"apto 2103 edf sainte juliana";"581402.31";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2020-04-16";"Bom";"Apartamento";"0.00";"13269";"";"";"2020";"1"
