"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua caio pereira";"375";"apto 303 edf luar do rosarinho";"349000.00";"Encruzilhada";"Recife";"PE";"2007";"798,91";"118,55";"0,02516";"Médio";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-02-16";"Bom";"Apartamento";"0.00";"13269";"-8.034996";"-34.896187";"2018";"1"
"rua caio pereira";"341";"apto 0302 edf cristal";"262000.00";"Encruzilhada";"Recife";"PE";"1969";"504,0";"156,45";"0,16666";"Simples";"Apartamento <= 4 Pavimentos";"RESIDENCIAL";"2018-12-13";"Bom";"Apartamento";"100000.00";"13269";"-8.034765";"-34.896514";"2018";"1"
"rua caio pereira";"800";"apto 1503 edf sainte juliana";"564534.77";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-12-13";"Bom";"Apartamento";"0.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 402 edf sainte juliana";"614000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-02-28";"Bom";"Apartamento";"350000.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 901 edf sainte juliana";"545000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-08-08";"Bom";"Apartamento";"0.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1402 edf sainte juliana";"566776.48";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-09-17";"Bom";"Apartamento";"0.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1601 edf sainte juliana";"620000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-05-29";"Bom";"Apartamento";"300000.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1903 edf sainte juliana";"579716.99";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-05-16";"Bom";"Apartamento";"0.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1001 edf sainte juliana";"570000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-10-26";"Bom";"Apartamento";"455958.04";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1001 edf sainte juliana";"2133.20";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-12-06";"Bom";"Apartamento";"0.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 201 edf sainte juliana";"586000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-05-14";"Bom";"Apartamento";"411000.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 503 edf sainte juliana";"542291.43";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-08-28";"Bom";"Apartamento";"370000.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 603 edf sainte juliana";"520000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-06-18";"Bom";"Apartamento";"310000.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 701 edf sainte juliana";"579727.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,68";"0,01586";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-02-01";"Bom";"Apartamento";"117492.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1002 edf sainte juliana";"582200.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-02-26";"Bom";"Apartamento";"250000.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1003 edf sainte juliana";"554672.90";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-05-25";"Bom";"Apartamento";"389213.74";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1302 edf sainte juliana";"542000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-03-05";"Bom";"Apartamento";"0.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1403 edf sainte juliana";"620000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,49";"0,01581";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-12-12";"Bom";"Apartamento";"467500.00";"13269";"";"";"2018";"1"
"rua caio pereira";"800";"apto 1702 edf sainte juliana";"623000.00";"Encruzilhada";"Recife";"PE";"2017";"1295,39";"145,8";"0,01589";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2018-05-30";"Bom";"Apartamento";"370000.00";"13269";"";"";"2018";"1"
