bairro_padronizado;endereco_edificio;logradouro_canonico;total_transacoes;total_revendas;m2_privativo_medio;valor_medio_corrigido;area_privativa_media;latitude;longitude
Arruda;Rua Das Mocas, 824 - Arruda;Rua Das Mocas;1;0;2460.46;329701.21;134.0;-8.023408;-34.887968
Arruda;Rua Das Mocas, 886 - Arruda;Rua Das Mocas;1;0;6252.29;2301844.24;368.16;-8.023073;-34.886945
Arruda;Rua Desembargador Santos Pereira, 100 - Arruda;Rua Desembargador Santos Pereira;1;0;2599.06;180894.86;69.6;-8.025247;-34.891398
Arruda;Rua Desembargador Santos Pereira, 73 - Arruda;Rua Desembargador Santos Pereira;1;0;1630.88;123947.18;76.0;-8.025247;-34.891398
Arruda;Rua Dezesseis De Julho, 154 - Arruda;Rua Dezesseis De Julho;1;0;2457.53;262414.73;106.78;-8.025247;-34.891398
Arruda;Rua Do Machado, 67 - Arruda;Rua Do Machado;1;0;3199.47;218203.59;68.2;-8.025049;-34.890579
Arruda;Rua Do Machado, 85 - Arruda;Rua Do Machado;1;0;2629.51;183750.39;69.88;-8.024977;-34.890546
Arruda;Rua Estrela Do Norte, 6 - Arruda;Rua Estrela Do Norte;1;0;3107.15;264262.69;85.05;-8.025247;-34.891398
Arruda;Rua Jorge Couceiro, 236 - Arruda;Rua Jorge Couceiro;1;0;2678.1;211704.04;79.05;-8.025247;-34.891398
Arruda;Rua Malaquias Goncalves Da Rocha, 22 - Arruda;Rua Malaquias Goncalves Da Rocha;1;0;3344.41;334440.73;100.0;-8.025247;-34.891398
Arruda;Rua N S Das Gracas, 114 - Arruda;Rua N S Das Gracas;1;0;4741.76;250175.0;52.76;-8.025247;-34.891398
Arruda;Rua N S Das Gracas, 118 - Arruda;Rua N S Das Gracas;1;0;3324.58;250175.0;75.25;-8.025247;-34.891398
Arruda;Rua Pedro Rodrigues De Barros, 41 - Arruda;Rua Pedro Rodrigues De Barros;1;0;3711.5;341457.7;92.0;-8.025247;-34.891398
Arruda;Rua Raul Pompeia, 255 - Arruda;Rua Raul Pompeia;1;0;4992.31;504323.22;101.02;-8.023374;-34.895422
Arruda;Rua Raul Pompeia, 294 - Arruda;Rua Raul Pompeia;1;0;2783.82;160542.7;57.67;-8.023374;-34.895422
Arruda;Rua Raul Pompeia, 68 - Arruda;Rua Raul Pompeia;1;0;7495.71;220598.85;29.43;-8.02575;-34.894459
Arruda;Rua Sete Pecados, 164 - Arruda;Rua Sete Pecados;1;0;2183.71;446634.63;204.53;-8.025247;-34.891398
Arruda;Rua Sete Pecados, 316 - Arruda;Rua Sete Pecados;1;1;6508.38;1165455.84;179.07;-8.025247;-34.891398
Barro;Avenida Doutor Jose Rufino, 3843 - Barro;Avenida Doutor Jose Rufino;41;16;6776.89;413161.01;61.04;-8.091741;-34.944952
Barro;Rua Amador Araujo, 51 - Barro;Rua Amador Araujo;27;6;970.64;36806.87;37.92;-8.092804;-34.943549
Barro;Avenida Doutor Jose Rufino, 2372 - Barro;Avenida Doutor Jose Rufino;15;1;5533.9;330766.72;60.63;-8.092988;-34.94396
Barro;Avenida Doutor Jose Rufino, 2887 - Barro;Avenida Doutor Jose Rufino;13;4;4643.96;275851.21;59.4;-8.091741;-34.944952
Barro;Avenida Doutor Jose Rufino, 3795 - Barro;Avenida Doutor Jose Rufino;8;2;5102.22;245955.79;48.21;-8.091741;-34.944952
Barro;Rua Domingos Teotonio, 38 - Barro;Rua Domingos Teotonio;4;2;5400.85;284084.74;52.6;-8.092514;-34.941296
Barro;Rua Doutor Vilas Boas, 530 - Barro;Rua Doutor Vilas Boas;4;1;4857.21;323400.51;66.6;-8.096398;-34.940805
Barro;Rua Coronel Seara, 28 - Barro;Rua Coronel Seara;3;3;3842.9;387978.9;100.96;-8.090574;-34.937372
Barro;Rua Padre Nobrega, 307 - Barro;Rua Padre Nobrega;3;0;2622.09;443332.5;170.6;-8.090345;-34.938845
Barro;Avenida Doutor Jose Rufino, 3429 - Barro;Avenida Doutor Jose Rufino;2;2;6588.59;1185947.52;180.0;-8.091741;-34.944952
Barro;Avenida Doutor Jose Rufino, 3491 - Barro;Avenida Doutor Jose Rufino;2;2;20893.85;3001192.06;143.64;-8.091741;-34.944952
Barro;Avenida Doutor Jose Rufino, 3545 - Barro;Avenida Doutor Jose Rufino;2;2;10978.61;2146318.24;195.5;-8.091741;-34.944952
Barro;Rua Pery, 123 - Barro;Rua Pery;2;2;2657.66;404017.58;152.02;-8.092138;-34.945326
Barro;Rua Pery, 98 - Barro;Rua Pery;2;2;3211.13;320887.77;99.93;-8.092391;-34.944992
Barro;Avenida Desembargador Nestor Diogens De Mello, 363 - Barro;Avenida Desembargador Nestor Diogens De Mello;1;0;5285.5;930247.22;176.0;-8.095502;-34.945395
Barro;Avenida Desembargador Nestor Diogens De Mello, 479 - Barro;Avenida Desembargador Nestor Diogens De Mello;1;0;3430.41;645088.35;188.05;-8.096421;-34.944551
Barro;Avenida Doutor Jose Rufino, 2125 - Barro;Avenida Doutor Jose Rufino;1;0;7276.64;492410.43;67.67;-8.091741;-34.944952
Barro;Avenida Doutor Jose Rufino, 3579 - Barro;Avenida Doutor Jose Rufino;1;0;9873.56;1155206.32;117.0;-8.091741;-34.944952
Barro;Avenida Doutor Jose Rufino, 3815 - Barro;Avenida Doutor Jose Rufino;1;0;9318.32;1118197.94;120.0;-8.091741;-34.944952
Barro;Avenida Engenho Muribeca, 198 - Barro;Avenida Engenho Muribeca;1;0;891.44;90204.72;101.19;-8.093723;-34.942232
Barro;Avenida Engenho Muribeca, 254 - Barro;Avenida Engenho Muribeca;1;0;2719.67;122385.17;45.0;-8.093723;-34.942232
Barro;Avenida Engenho Muribeca, 364 - Barro;Avenida Engenho Muribeca;1;0;3627.09;155964.81;43.0;-8.093723;-34.942232
Barro;Rua Almeirim, 108 - Barro;Rua Almeirim;1;0;9024.26;375409.12;41.6;-8.091069;-34.942561
Barro;Rua Amador Araujo, 68 - Barro;Rua Amador Araujo;1;0;2268.85;273623.28;120.6;-8.0925;-34.943253
Barro;Rua Capitao Ponciano, 29 - Barro;Rua Capitao Ponciano;1;0;0.0;0.01;76.5;-8.093518;-34.943492
Barro;Rua Capitao Ponciano, 46 - Barro;Rua Capitao Ponciano;1;0;4004.5;736348.14;183.88;-8.093711;-34.943751
Barro;Rua Coronel Seara, 158 - Barro;Rua Coronel Seara;1;0;4396.35;304403.52;69.24;-8.089429;-34.93762
Barro;Rua Coronel Seara, 62 - Barro;Rua Coronel Seara;1;0;3060.53;385749.57;126.04;-8.090237;-34.937429
Barro;Rua Dom Antonio Vicoso, 154 - Barro;Rua Dom Antonio Vicoso;1;0;1904.58;898466.47;471.74;-8.094081;-34.942508
Barro;Rua Dom Antonio Vicoso, 228 - Barro;Rua Dom Antonio Vicoso;1;0;2844.2;1368401.44;481.12;-8.094771;-34.942185
Barro;Rua Dorotheia Vieira, 61 - Barro;Rua Dorotheia Vieira;1;0;2407.28;148770.18;61.8;-8.093352;-34.94274
Barro;Rua Escritor Lins Do Rego, 114 - Barro;Rua Escritor Lins Do Rego;1;0;8522.68;471218.71;55.29;-8.096381;-34.944038
Barro;Rua Escritor Lins Do Rego, 75 - Barro;Rua Escritor Lins Do Rego;1;0;3276.37;418719.97;127.8;-8.096381;-34.944038
Barro;Rua Manuel Salvador, 194 - Barro;Rua Manuel Salvador;1;0;0.01;1.79;354.1;-8.088424;-34.937828
Barro;Rua Padre Nobrega, 161 - Barro;Rua Padre Nobrega;1;0;1732.56;212117.86;122.43;-8.091152;-34.938871
Barro;Rua Padre Nobrega, 332 - Barro;Rua Padre Nobrega;1;0;1102.03;365874.85;332.0;-8.089538;-34.938818
Barro;Rua Pery, 110 - Barro;Rua Pery;1;0;3492.38;264024.28;75.6;-8.092281;-34.944994
Barro;Rua Pery, 133 - Barro;Rua Pery;1;0;1995.25;265368.06;133.0;-8.092;-34.945243
Barro;Rua Pery, 76 - Barro;Rua Pery;1;0;1502.53;183444.21;122.09;-8.092613;-34.94499
