bairro_padronizado;endereco_edificio;logradouro_canonico;total_transacoes;total_revendas;m2_privativo_medio;valor_medio_corrigido;area_privativa_media;latitude;longitude
Campina Do Barreto;Rua Coronel Mario Liborio, 227 - Campina Do Barreto;Rua Coronel Mario Liborio;2;2;2611.66;229825.78;88.0;-8.018262;-34.884501
Campina Do Barreto;Rua Constanca, 786 - Campina Do Barreto;Rua Constanca;1;0;21578.47;794087.68;36.8;-8.016748;-34.883925
Campina Do Barreto;Rua Constanca, 788 - Campina Do Barreto;Rua Constanca;1;0;2457.48;417772.1;170.0;-8.016748;-34.883925
Campina Do Barreto;Rua Garibalde, 132 - Campina Do Barreto;Rua Garibalde;1;1;2755.53;736112.07;267.14;-8.018066;-34.88413
Campina Do Barreto;Rua Garibalde, 164 - Campina Do Barreto;Rua Garibalde;1;0;3804.75;350037.27;92.0;-8.018066;-34.88413
Campina Do Barreto;Rua Garibalde, 183 - Campina Do Barreto;Rua Garibalde;1;0;3479.33;150133.11;43.15;-8.018066;-34.88413
Campina Do Barreto;Rua Nadia, 146 - Campina Do Barreto;Rua Nadia;1;0;3345.38;361300.61;108.0;-8.012443;-34.881694
Campina Do Barreto;Rua Pirangi, 91 - Campina Do Barreto;Rua Pirangi;1;0;4010.32;176454.14;44.0;-8.018262;-34.884501
Campo Grande;Rua Oliveira Fonseca, 351 - Campo Grande;Rua Oliveira Fonseca;77;30;5358.55;319923.94;59.76;-8.027464;-34.880164
Campo Grande;Rua Oliveira Fonseca, 159 - Campo Grande;Rua Oliveira Fonseca;67;43;5620.54;378310.82;67.31;-8.027464;-34.880164
Campo Grande;Rua Hamilton Ribeiro, 92 - Campo Grande;Rua Hamilton Ribeiro;49;29;6561.71;491449.79;74.83;-8.033282;-34.883077
Campo Grande;Rua Francisco Berenguer, 535 - Campo Grande;Rua Francisco Berenguer;44;25;5576.19;284761.8;51.04;-8.028908;-34.886595
Campo Grande;Rua Mario Sete, 176 - Campo Grande;Rua Mario Sete;31;22;6121.29;460688.26;75.26;-8.030643;-34.880314
Campo Grande;Rua Odorico Mendes, 100 - Campo Grande;Rua Odorico Mendes;23;7;1203.25;62136.14;51.64;-8.033352;-34.88172
Campo Grande;Rua Goncalves Dias, 179 - Campo Grande;Rua Goncalves Dias;22;10;5092.75;346235.22;67.99;-8.033187;-34.877845
Campo Grande;Estrada De Belem, 1000 - Campo Grande;Estrada De Belem;19;0;7295.17;597223.71;81.86;-8.034427;-34.886061
Campo Grande;Rua Manuel De Barros Lima, 173 - Campo Grande;Rua Manuel De Barros Lima;18;9;6700.05;553838.77;82.65;-8.031115;-34.87987
Campo Grande;Rua Visconde De Cairu, 207 - Campo Grande;Rua Visconde De Cairu;18;0;6642.05;374040.98;56.29;-8.034055;-34.881947
Campo Grande;Rua Manuel De Barros Lima, 153 - Campo Grande;Rua Manuel De Barros Lima;17;9;4899.57;361510.5;73.77;-8.031144;-34.880087
Campo Grande;Rua Jonas Guerra, 95 - Campo Grande;Rua Jonas Guerra;13;8;4348.28;292291.56;67.22;-8.027922;-34.879095
Campo Grande;Rua Prudente De Moraes, 68 - Campo Grande;Rua Prudente De Moraes;11;2;5672.74;446552.92;78.72;-8.032337;-34.884599
Campo Grande;Rua Prudente De Moraes, 234 - Campo Grande;Rua Prudente De Moraes;10;7;3480.5;273291.82;78.79;-8.03098;-34.885434
Campo Grande;Rua Dom Joao Costa, 295 - Campo Grande;Rua Dom Joao Costa;9;8;9270.26;1607555.72;173.41;-8.038504;-34.883138
Campo Grande;Rua Tenente Guimaraes, 474 - Campo Grande;Rua Tenente Guimaraes;8;4;4445.07;268239.33;60.35;-8.0279;-34.878694
Campo Grande;Rua Visconde De Cairu, 15 - Campo Grande;Rua Visconde De Cairu;8;4;6478.36;394661.8;60.92;-8.034557;-34.882928
Campo Grande;Rua Marques De Abrantes, 440 - Campo Grande;Rua Marques De Abrantes;6;3;5078.99;448844.92;88.37;-8.030788;-34.88136
Campo Grande;Rua Manuel De Barros Lima, 154 - Campo Grande;Rua Manuel De Barros Lima;5;3;4898.62;324702.57;67.02;-8.031625;-34.879963
Campo Grande;Rua Marques De Abrantes, 855 - Campo Grande;Rua Marques De Abrantes;5;4;4201.17;307735.38;73.25;-8.029991;-34.878126
Campo Grande;Rua Oliveira Fonseca, 350 - Campo Grande;Rua Oliveira Fonseca;5;2;4443.19;324886.14;73.12;-8.028071;-34.879827
Campo Grande;Rua Barao De Vera Cruz, 236 - Campo Grande;Rua Barao De Vera Cruz;4;0;4436.79;451052.94;101.85;-8.030337;-34.884041
Campo Grande;Rua Osorio De Almeida, 118 - Campo Grande;Rua Osorio De Almeida;4;4;6149.23;258267.72;42.0;-8.03105;-34.881866
Campo Grande;Rua Voluntarios Da Patria, 71 - Campo Grande;Rua Voluntarios Da Patria;4;1;5367.4;444120.88;82.72;-8.031627;-34.883073
Campo Grande;Rua Jonas Guerra, 45 - Campo Grande;Rua Jonas Guerra;3;1;4128.92;333186.16;80.43;-8.028021;-34.879578
Campo Grande;Rua Jornalista Aristofanes Trindade, 115 - Campo Grande;Rua Jornalista Aristofanes Trindade;3;3;3842.01;242046.88;63.0;-8.0256;-34.882347
Campo Grande;Rua Alice Gomes, 476 - Campo Grande;Rua Alice Gomes;2;2;28729.54;642105.22;22.35;-8.031176;-34.881082
Campo Grande;Rua Cristovao Jaques, 81 - Campo Grande;Rua Cristovao Jaques;2;2;3464.1;364769.66;105.3;-8.034073;-34.884642
Campo Grande;Rua Francisco Berenguer, 249 - Campo Grande;Rua Francisco Berenguer;2;0;2713.66;313409.46;115.72;-8.028817;-34.886912
Campo Grande;Rua Francisco Berenguer, 488 - Campo Grande;Rua Francisco Berenguer;2;2;6144.42;556684.14;90.6;-8.027977;-34.884785
Campo Grande;Rua Hamilton Ribeiro, 58 - Campo Grande;Rua Hamilton Ribeiro;2;2;1702.53;608296.78;357.29;-8.033061;-34.883308
Campo Grande;Rua Mario Sete, 297 - Campo Grande;Rua Mario Sete;2;2;2920.76;584531.68;200.13;-8.029619;-34.880828
Campo Grande;Rua Marques De Abrantes, 90 - Campo Grande;Rua Marques De Abrantes;2;0;3701.04;427074.31;116.12;-8.0319;-34.884517
Campo Grande;Rua Prudente De Moraes, 436 - Campo Grande;Rua Prudente De Moraes;2;2;3429.73;182221.47;53.13;-8.029587;-34.886593
Campo Grande;Rua Prudente De Moraes, 92 - Campo Grande;Rua Prudente De Moraes;2;2;3174.26;1052840.79;331.68;-8.032146;-34.884717
Campo Grande;Rua Sao Felix, 60 - Campo Grande;Rua Sao Felix;2;2;6485.08;1207522.18;186.2;-8.032906;-34.879383
Campo Grande;Rua Tenente Agripino, 56 - Campo Grande;Rua Tenente Agripino;2;0;2956.9;249088.75;84.24;-8.029044;-34.882732
Campo Grande;Rua Tenente Guimaraes, 91 - Campo Grande;Rua Tenente Guimaraes;2;2;3093.8;372648.46;120.45;-8.031324;-34.878508
Campo Grande;Rua Visconde De Cairu, 59 - Campo Grande;Rua Visconde De Cairu;2;2;2991.64;743002.36;248.36;-8.033303;-34.880571
Campo Grande;Rua Visconde De Cairu, 77 - Campo Grande;Rua Visconde De Cairu;2;2;3407.24;852933.7;250.33;-8.033268;-34.880393
Campo Grande;Rua Alderico Pereira Rego, 117 - Campo Grande;Rua Alderico Pereira Rego;1;0;3691.67;359125.34;97.28;-8.029304;-34.886438
Campo Grande;Rua Alderico Pereira Rego, 75 - Campo Grande;Rua Alderico Pereira Rego;1;0;2566.14;335086.64;130.58;-8.029637;-34.886314
Campo Grande;Rua Coronel Bento Magalhaes, 95 - Campo Grande;Rua Coronel Bento Magalhaes;1;0;1595.36;944196.79;591.84;-8.032928;-34.876174
Campo Grande;Rua Cristovao Jaques, 215 - Campo Grande;Rua Cristovao Jaques;1;0;2324.94;916304.99;394.12;-8.034938;-34.883761
Campo Grande;Rua Doutor Machado, 645 - Campo Grande;Rua Doutor Machado;1;1;88.19;5745.34;65.15;-8.028708;-34.880378
Campo Grande;Rua Esberard, 32 - Campo Grande;Rua Esberard;1;0;1521.79;277802.82;182.55;-8.035252;-34.875768
Campo Grande;Rua Francisco Berenguer, 248 - Campo Grande;Rua Francisco Berenguer;1;0;4265.89;238889.94;56.0;-8.029135;-34.886635
Campo Grande;Rua Francisco Berenguer, 552 - Campo Grande;Rua Francisco Berenguer;1;0;4824.76;551663.11;114.34;-8.02779;-34.884296
Campo Grande;Rua Hamilton Ribeiro, 70 - Campo Grande;Rua Hamilton Ribeiro;1;0;1736.21;723601.11;416.77;-8.033151;-34.883214
Campo Grande;Rua Jeronimo Vilela, 272 - Campo Grande;Rua Jeronimo Vilela;1;1;4269.73;214383.32;50.21;-8.029738;-34.88143
Campo Grande;Rua Manuel De Barros Lima, 212 - Campo Grande;Rua Manuel De Barros Lima;1;0;4248.67;1376526.67;323.99;-8.031542;-34.879476
Campo Grande;Rua Manuel De Barros Lima, 237 - Campo Grande;Rua Manuel De Barros Lima;1;0;4988.92;608648.19;122.0;-8.031115;-34.879302
Campo Grande;Rua Manuel De Barros Lima, 244 - Campo Grande;Rua Manuel De Barros Lima;1;0;4699.56;614279.81;130.71;-8.031397;-34.879152
Campo Grande;Rua Manuel De Barros Lima, 257 - Campo Grande;Rua Manuel De Barros Lima;1;0;6206.25;573706.15;92.44;-8.031087;-34.879124
Campo Grande;Rua Manuel De Barros Lima, 57 - Campo Grande;Rua Manuel De Barros Lima;1;0;3319.58;265433.27;79.96;-8.031262;-34.880959
Campo Grande;Rua Marechal Deodoro, 570 - Campo Grande;Rua Marechal Deodoro;1;0;5824.48;979328.14;168.14;-8.037413;-34.884926
Campo Grande;Rua Marechal Deodoro, 580 - Campo Grande;Rua Marechal Deodoro;1;0;1675.3;501720.09;299.48;-8.037413;-34.884926
Campo Grande;Rua Marechal Deodoro, 700 - Campo Grande;Rua Marechal Deodoro;1;0;3774.42;901785.45;238.92;-8.035609;-34.882721
Campo Grande;Rua Mario Sete, -1 - Campo Grande;Rua Mario Sete;1;0;4896.92;420939.04;85.96;-8.025814;-34.881404
Campo Grande;Rua Mario Sete, 149 - Campo Grande;Rua Mario Sete;1;0;3971.97;788316.6;198.47;-8.030988;-34.880675
Campo Grande;Rua Mario Sete, 330 - Campo Grande;Rua Mario Sete;1;1;3449.9;325325.68;94.3;-8.02923;-34.880461
Campo Grande;Rua Marques De Abrantes, 301 - Campo Grande;Rua Marques De Abrantes;1;0;3956.84;607216.8;153.46;-8.030763;-34.882701
Campo Grande;Rua N S Da Gloria, 161 - Campo Grande;Rua N S Da Gloria;1;0;1955.61;334975.84;171.29;-8.033646;-34.878262
Campo Grande;Rua Oliveira Fonseca, 144 - Campo Grande;Rua Oliveira Fonseca;1;0;3512.04;482484.12;137.38;-8.030002;-34.879595
Campo Grande;Rua Oliveira Fonseca, 161 - Campo Grande;Rua Oliveira Fonseca;1;0;5028.16;838396.23;166.74;-8.029935;-34.879992
Campo Grande;Rua Oliveira Fonseca, 171 - Campo Grande;Rua Oliveira Fonseca;1;0;7469.65;968813.42;129.7;-8.029827;-34.880009
Campo Grande;Rua Oliveira Fonseca, 185 - Campo Grande;Rua Oliveira Fonseca;1;0;1821.19;465769.57;255.75;-8.029652;-34.880032
Campo Grande;Rua Osorio De Almeida, 122 - Campo Grande;Rua Osorio De Almeida;1;0;8999.67;386535.83;42.95;-8.030998;-34.881875
Campo Grande;Rua Pereira Passos, 175 - Campo Grande;Rua Pereira Passos;1;0;3240.87;506677.9;156.34;-8.036891;-34.879047
Campo Grande;Rua Pereira Passos, 181 - Campo Grande;Rua Pereira Passos;1;0;4840.64;577004.07;119.2;-8.036963;-34.879033
Campo Grande;Rua Professor Francisco Da Trindade, 43 - Campo Grande;Rua Professor Francisco Da Trindade;1;0;4597.13;242498.5;52.75;-8.035136;-34.880216
Campo Grande;Rua Professor Francisco Da Trindade, 464 - Campo Grande;Rua Professor Francisco Da Trindade;1;0;6658.24;655170.52;98.4;-8.03446;-34.877797
Campo Grande;Rua Professor Francisco Da Trindade, 480 - Campo Grande;Rua Professor Francisco Da Trindade;1;0;3814.42;614122.37;161.0;-8.03446;-34.877797
Campo Grande;Rua Professor Francisco Da Trindade, 574 - Campo Grande;Rua Professor Francisco Da Trindade;1;0;1452.79;65375.73;45.0;-8.034042;-34.875693
Campo Grande;Rua Professor Francisco Da Trindade, 62 - Campo Grande;Rua Professor Francisco Da Trindade;1;0;2206.9;571807.44;259.1;-8.035457;-34.87996
Campo Grande;Rua Professor Francisco Da Trindade, 95 - Campo Grande;Rua Professor Francisco Da Trindade;1;0;2594.45;207556.38;80.0;-8.034965;-34.879798
Campo Grande;Rua Prudente De Moraes, 100 - Campo Grande;Rua Prudente De Moraes;1;0;2285.79;678879.66;297.0;-8.032136;-34.884898
Campo Grande;Rua Prudente De Moraes, 162 - Campo Grande;Rua Prudente De Moraes;1;0;2392.96;201200.44;84.08;-8.031591;-34.885221
Campo Grande;Rua Prudente De Moraes, 222 - Campo Grande;Rua Prudente De Moraes;1;0;2521.86;726447.32;288.06;-8.031102;-34.885409
Campo Grande;Rua Prudente De Moraes, 246 - Campo Grande;Rua Prudente De Moraes;1;0;3868.41;661498.35;171.0;-8.030989;-34.885583
Campo Grande;Rua Prudente De Moraes, 274 - Campo Grande;Rua Prudente De Moraes;1;0;2788.37;817940.29;293.34;-8.030727;-34.885641
Campo Grande;Rua Prudente De Moraes, 474 - Campo Grande;Rua Prudente De Moraes;1;0;1029.71;443712.53;430.91;-8.029284;-34.886783
Campo Grande;Rua Prudente De Moraes, 510 - Campo Grande;Rua Prudente De Moraes;1;0;4001.45;811414.77;202.78;-8.028999;-34.887007
Campo Grande;Rua Prudente De Moraes, 564 - Campo Grande;Rua Prudente De Moraes;1;0;4033.04;439601.62;109.0;-8.028614;-34.887294
Campo Grande;Rua Tenente Guimaraes, 423 - Campo Grande;Rua Tenente Guimaraes;1;0;5099.83;396562.4;77.76;-8.028379;-34.878962
Campo Grande;Rua Tenente Guimaraes, 745 - Campo Grande;Rua Tenente Guimaraes;1;1;2273.36;175367.28;77.14;-8.026885;-34.879261
Campo Grande;Rua Tenente Guimaraes, 809 - Campo Grande;Rua Tenente Guimaraes;1;0;2663.68;230514.73;86.54;-8.026231;-34.879351
Campo Grande;Rua Uniao Dos Palmares, 60 - Campo Grande;Rua Uniao Dos Palmares;1;0;1883.5;287515.64;152.65;-8.025357;-34.876232
Campo Grande;Rua Visconde De Cairu, 115 - Campo Grande;Rua Visconde De Cairu;1;0;2632.38;418232.15;158.88;-8.033803;-34.881711
Campo Grande;Rua Visconde De Cairu, 251 - Campo Grande;Rua Visconde De Cairu;1;0;3494.77;684275.14;195.8;-8.033367;-34.8802
Casa Amarela;Rua Da Harmonia, 305 - Casa Amarela;Rua Da Harmonia;163;97;7504.78;484758.84;64.78;-8.026675;-34.913132
Casa Amarela;Rua Desembargador Motta Junior, 54 - Casa Amarela;Rua Desembargador Motta Junior;135;63;6297.36;629931.98;100.03;-8.026147;-34.910414
Casa Amarela;Rua Conselheiro Nabuco, 210 - Casa Amarela;Rua Conselheiro Nabuco;98;47;7733.69;576288.68;74.61;-8.029468;-34.915541
Casa Amarela;Rua Major Nereu Guerra, 297 - Casa Amarela;Rua Major Nereu Guerra;73;12;6470.16;487038.34;75.28;-8.025886;-34.914998
Casa Amarela;Rua Professor Souto Maior, 54 - Casa Amarela;Rua Professor Souto Maior;70;31;7193.21;502146.24;70.05;-8.027301;-34.907572
Casa Amarela;Rua Conselheiro Nabuco, 150 - Casa Amarela;Rua Conselheiro Nabuco;68;31;6827.99;556558.8;81.51;-8.029236;-34.916621
Casa Amarela;Rua Evaristo Da Veiga, 217 - Casa Amarela;Rua Evaristo Da Veiga;53;11;5150.15;273444.74;53.5;-8.02927;-34.914839
Casa Amarela;Rua Desembargador Gois Cavalcante, 154 - Casa Amarela;Rua Desembargador Gois Cavalcante;44;21;8545.83;758832.01;88.8;-8.030887;-34.908584
Casa Amarela;Rua Engenheiro Oscar Ferreira, 329 - Casa Amarela;Rua Engenheiro Oscar Ferreira;44;24;6982.68;343510.48;49.18;-8.028957;-34.922688
Casa Amarela;Rua Evaristo Da Veiga, 146 - Casa Amarela;Rua Evaristo Da Veiga;41;0;7697.29;529970.34;68.71;-8.028779;-34.915015
Casa Amarela;Rua Da Estrela, 52 - Casa Amarela;Rua Da Estrela;39;30;7223.54;365745.26;50.58;-8.030786;-34.908816
Casa Amarela;Rua Evaristo Da Veiga, 166 - Casa Amarela;Rua Evaristo Da Veiga;38;17;5762.7;472324.52;82.03;-8.02859;-34.915298
Casa Amarela;Rua Rodrigues Sete, 90 - Casa Amarela;Rua Rodrigues Sete;38;20;8056.85;529093.31;65.67;-8.028702;-34.907683
Casa Amarela;Rua Conselheiro Nabuco, 360 - Casa Amarela;Rua Conselheiro Nabuco;36;13;7015.66;626007.15;89.18;-8.02898;-34.916801
Casa Amarela;Rua Oscar Pinto, 300 - Casa Amarela;Rua Oscar Pinto;34;7;7816.99;586885.59;75.04;-8.025473;-34.911642
Casa Amarela;Rua Arnoldo Magalhaes, 230 - Casa Amarela;Rua Arnoldo Magalhaes;32;15;7073.48;408043.9;57.7;-8.025798;-34.909052
Casa Amarela;Rua Arnoldo Magalhaes, 22 - Casa Amarela;Rua Arnoldo Magalhaes;30;19;8177.1;705193.26;86.24;-8.028462;-34.909631
Casa Amarela;Rua Arnoldo Magalhaes, 94 - Casa Amarela;Rua Arnoldo Magalhaes;30;12;7696.65;655061.92;85.11;-8.027746;-34.909431
Casa Amarela;Rua Arnoldo Magalhaes, 79 - Casa Amarela;Rua Arnoldo Magalhaes;27;19;6142.45;421841.06;68.68;-8.027433;-34.909406
Casa Amarela;Rua Da Harmonia, 533 - Casa Amarela;Rua Da Harmonia;27;0;5774.01;478352.32;83.66;-8.026947;-34.913407
Casa Amarela;Rua Desembargador Motta Junior, 190 - Casa Amarela;Rua Desembargador Motta Junior;27;0;5752.28;469877.81;81.94;-8.026147;-34.910414
Casa Amarela;Estrada Do Encanamento, 1048 - Casa Amarela;Estrada Do Encanamento;26;13;6487.67;342352.93;52.88;-8.030313;-34.918235
Casa Amarela;Rua Professor Souto Maior, 33 - Casa Amarela;Rua Professor Souto Maior;24;9;6795.34;557065.45;81.27;-8.027838;-34.907396
Casa Amarela;Rua Guimaraes Peixoto, 405 - Casa Amarela;Rua Guimaraes Peixoto;22;8;3681.02;236719.89;64.36;-8.026377;-34.907315
Casa Amarela;Rua Paula Batista, 539 - Casa Amarela;Rua Paula Batista;22;10;7187.53;415942.14;57.87;-8.027318;-34.916209
Casa Amarela;Rua Taquaritinga, 149 - Casa Amarela;Rua Taquaritinga;22;10;6948.72;539995.42;77.72;-8.024903;-34.916596
Casa Amarela;Rua Joao Barbalho, 121 - Casa Amarela;Rua Joao Barbalho;21;4;6553.09;462592.14;70.54;-8.03093;-34.91589
Casa Amarela;Rua Conselheiro Nabuco, 181 - Casa Amarela;Rua Conselheiro Nabuco;20;6;7646.37;1016116.82;132.91;-8.030222;-34.915616
Casa Amarela;Rua Da Estrela, 146 - Casa Amarela;Rua Da Estrela;20;9;6163.3;987421.09;176.92;-8.030094;-34.909501
Casa Amarela;Rua Da Harmonia, 430 - Casa Amarela;Rua Da Harmonia;18;9;3741.62;292343.12;78.06;-8.027611;-34.914139
Casa Amarela;Rua Padre Lemos, 723 - Casa Amarela;Rua Padre Lemos;18;11;2874.27;100110.85;34.83;-8.022267;-34.921167
Casa Amarela;Rua Professor Alvaro Lima, 80 - Casa Amarela;Rua Professor Alvaro Lima;16;2;7987.44;580550.41;72.96;-8.028136;-34.914082
Casa Amarela;Rua Conselheiro Nabuco, 151 - Casa Amarela;Rua Conselheiro Nabuco;15;11;4817.83;986112.92;204.68;-8.030416;-34.915441
Casa Amarela;Rua Evaristo Da Veiga, 255 - Casa Amarela;Rua Evaristo Da Veiga;14;4;7340.91;745552.71;101.52;-8.029516;-34.914919
Casa Amarela;Rua Desembargador Gois Cavalcante, 100 - Casa Amarela;Rua Desembargador Gois Cavalcante;13;8;6940.25;343808.8;49.56;-8.030392;-34.908037
Casa Amarela;Rua Paula Batista, 565 - Casa Amarela;Rua Paula Batista;13;2;4597.99;434506.67;94.44;-8.027539;-34.916263
Casa Amarela;Rua Evaristo Da Veiga, 106 - Casa Amarela;Rua Evaristo Da Veiga;12;7;4403.75;313150.24;71.11;-8.02816;-34.915059
Casa Amarela;Rua Bento Loyola, 70 - Casa Amarela;Rua Bento Loyola;11;6;7877.9;634925.03;80.56;-8.027156;-34.912795
Casa Amarela;Rua Raimundo Freixeira, 203 - Casa Amarela;Rua Raimundo Freixeira;11;8;5110.57;312986.59;61.81;-8.029118;-34.918687
Casa Amarela;Rua Da Harmonia, 480 - Casa Amarela;Rua Da Harmonia;10;6;4559.95;319926.01;70.16;-8.02805;-34.914293
Casa Amarela;Rua Guimaraes Peixoto, 75 - Casa Amarela;Rua Guimaraes Peixoto;10;4;7232.59;355956.99;49.26;-8.029148;-34.907625
Casa Amarela;Estrada Do Arraial, 2823 - Casa Amarela;Estrada Do Arraial;9;4;5691.71;872961.78;153.41;-8.029839;-34.907956
Casa Amarela;Rua Arnoldo Magalhaes, 80 - Casa Amarela;Rua Arnoldo Magalhaes;9;2;8041.58;695274.93;86.46;-8.028095;-34.90953
Casa Amarela;Rua Conselheiro Peretti, 350 - Casa Amarela;Rua Conselheiro Peretti;9;5;5364.32;404361.08;75.35;-8.024351;-34.916842
Casa Amarela;Rua Guimaraes Peixoto, 295 - Casa Amarela;Rua Guimaraes Peixoto;9;4;7562.73;718809.41;95.06;-8.027255;-34.907194
Casa Amarela;Estrada Do Arraial, 3491 - Casa Amarela;Estrada Do Arraial;8;2;6300.44;459734.39;73.28;-8.027865;-34.913636
Casa Amarela;Rua Bento Loyola, 75 - Casa Amarela;Rua Bento Loyola;8;3;8782.92;1227412.6;139.75;-8.027178;-34.912811
Casa Amarela;Rua Rodrigues Sete, 45 - Casa Amarela;Rua Rodrigues Sete;8;5;6560.03;848867.59;129.4;-8.028559;-34.907939
Casa Amarela;Avenida Professor Jose Dos Anjos, 100 - Casa Amarela;Avenida Professor Jose Dos Anjos;7;6;5632.95;316515.49;56.19;-8.026923;-34.908313
Casa Amarela;Rua Conselheiro Nabuco, 571 - Casa Amarela;Rua Conselheiro Nabuco;7;2;7650.01;427251.57;55.86;-8.028295;-34.918742
Casa Amarela;Rua Major Nereu Guerra, 87 - Casa Amarela;Rua Major Nereu Guerra;7;2;4539.7;336134.11;74.05;-8.026207;-34.914238
Casa Amarela;Estrada Do Arraial, 3286 - Casa Amarela;Estrada Do Arraial;6;2;8141.18;155812.49;19.54;-8.027863;-34.911669
Casa Amarela;Rua Da Harmonia, 460 - Casa Amarela;Rua Da Harmonia;6;0;3830.23;302052.19;78.86;-8.027854;-34.914223
Casa Amarela;Rua Doutor Genaro Guimaraes, 221 - Casa Amarela;Rua Doutor Genaro Guimaraes;6;5;8658.82;960003.42;110.87;-8.029354;-34.920196
Casa Amarela;Rua Major Nereu Guerra, 131 - Casa Amarela;Rua Major Nereu Guerra;6;2;3876.5;479367.2;122.13;-8.026011;-34.914581
Casa Amarela;Rua Bela Vista, 231 - Casa Amarela;Rua Bela Vista;5;0;5943.52;403664.29;67.92;-8.027205;-34.911608
Casa Amarela;Rua Conselheiro Nabuco, 271 - Casa Amarela;Rua Conselheiro Nabuco;5;4;5882.52;723269.84;122.95;-8.029891;-34.916374
Casa Amarela;Rua Desembargador Motta Junior, 83 - Casa Amarela;Rua Desembargador Motta Junior;5;2;3956.31;370310.24;93.6;-8.026044;-34.91088
Casa Amarela;Rua Evaristo Da Veiga, 148 - Casa Amarela;Rua Evaristo Da Veiga;5;5;4892.6;1326090.5;271.04;-8.028455;-34.915219
Casa Amarela;Rua Major Nereu Guerra, 307 - Casa Amarela;Rua Major Nereu Guerra;5;4;357111.25;23140808.69;64.8;-8.025616;-34.916166
Casa Amarela;Rua Senador Soares Meireles, 265 - Casa Amarela;Rua Senador Soares Meireles;5;4;2615.83;281460.74;107.44;-8.025153;-34.920306
Casa Amarela;Rua Abel De Sa Bezerra Cavalcanti, 101 - Casa Amarela;Rua Abel De Sa Bezerra Cavalcanti;4;0;3260.65;322995.98;99.05;-8.028093;-34.908802
Casa Amarela;Rua Conselheiro Nabuco, 154 - Casa Amarela;Rua Conselheiro Nabuco;4;4;9999.91;1037290.26;103.73;-8.029905;-34.915146
Casa Amarela;Rua Da Harmonia, 187 - Casa Amarela;Rua Da Harmonia;4;4;3310.18;424395.29;128.53;-8.025395;-34.912964
Casa Amarela;Rua Da Harmonia, 322 - Casa Amarela;Rua Da Harmonia;4;0;3689.71;842307.42;227.59;-8.026498;-34.913947
Casa Amarela;Rua Evaristo Da Veiga, 142 - Casa Amarela;Rua Evaristo Da Veiga;4;4;5849.96;1635531.54;279.58;-8.028365;-34.915188
Casa Amarela;Rua Joao Barbalho, 101 - Casa Amarela;Rua Joao Barbalho;4;4;2584.75;895796.16;346.57;-8.030749;-34.915829
Casa Amarela;Rua Olimpio Tavares, 80 - Casa Amarela;Rua Olimpio Tavares;4;4;4520.66;954129.37;211.06;-8.028359;-34.913501
Casa Amarela;Rua Raimundo Freixeira, 47 - Casa Amarela;Rua Raimundo Freixeira;4;0;7774.14;1177837.71;151.55;-8.029389;-34.918414
Casa Amarela;Estrada Do Arraial, 3574 - Casa Amarela;Estrada Do Arraial;3;0;6568.5;454893.28;69.39;-8.02698;-34.914143
Casa Amarela;Rua Conselheiro Nabuco, 164 - Casa Amarela;Rua Conselheiro Nabuco;3;3;9462.6;1358355.78;143.55;-8.029859;-34.915248
Casa Amarela;Rua Conselheiro Nabuco, 289 - Casa Amarela;Rua Conselheiro Nabuco;3;3;3083.82;722755.79;234.37;-8.029993;-34.916547
Casa Amarela;Rua Da Harmonia, 161 - Casa Amarela;Rua Da Harmonia;3;3;3494.61;778737.47;222.84;-8.025178;-34.912868
Casa Amarela;Rua Da Harmonia, 358 - Casa Amarela;Rua Da Harmonia;3;3;4386.86;1130714.65;257.75;-8.026818;-34.91385
Casa Amarela;Rua Da Harmonia, 370 - Casa Amarela;Rua Da Harmonia;3;3;3031.76;1243323.77;410.1;-8.026928;-34.913887
Casa Amarela;Rua Da Harmonia, 489 - Casa Amarela;Rua Da Harmonia;3;3;2940.52;688669.21;234.2;-8.028089;-34.9138
Casa Amarela;Rua Da Harmonia, 700 - Casa Amarela;Rua Da Harmonia;3;0;3910.98;366067.44;93.6;-8.029801;-34.914884
Casa Amarela;Rua Desembargador Motta Junior, 227 - Casa Amarela;Rua Desembargador Motta Junior;3;0;4026.79;239046.62;58.67;-8.026311;-34.909623
Casa Amarela;Rua Evaristo Da Veiga, 184 - Casa Amarela;Rua Evaristo Da Veiga;3;3;4327.8;1674640.19;386.95;-8.028737;-34.915306
Casa Amarela;Rua Paula Batista, 607 - Casa Amarela;Rua Paula Batista;3;0;3451.72;324644.29;93.33;-8.027798;-34.91637
Casa Amarela;Estrada Do Arraial, 3344 - Casa Amarela;Estrada Do Arraial;2;0;6555.11;151884.69;22.91;-8.027808;-34.912191
Casa Amarela;Estrada Do Arraial, 3455 - Casa Amarela;Estrada Do Arraial;2;1;3731.18;311628.03;83.52;-8.027898;-34.913324
Casa Amarela;Estrada Do Encanamento, 1030 - Casa Amarela;Estrada Do Encanamento;2;2;6040.52;1367211.14;226.34;-8.029988;-34.919245
Casa Amarela;Rua Alexandrino, 61 - Casa Amarela;Rua Alexandrino;2;2;6866.72;357069.06;52.0;-8.025303;-34.92214
Casa Amarela;Rua Arnoldo Magalhaes, 243 - Casa Amarela;Rua Arnoldo Magalhaes;2;0;3519.18;228043.34;64.8;-8.025427;-34.909409
