bairro_padronizado;ano_arquivo;total_transacoes;preco_m2_medio_corrigido;preco_m2_mediana_corrigida;preco_m2_medio_nominal
Tejipio;2020;64;3189.57;3081.74;2239.44
Tejipio;2021;36;3474.5;3193.56;2639.66
Tejipio;2022;37;3007.7;2916.54;2511.07
Tejipio;2023;64;3116.78;3018.39;2715.62
Tejipio;2024;85;2850.44;2628.88;2587.76
Tejipio;2025;89;2895.19;2896.19;2765.56
Tejipio;2026;49;2658.94;2793.55;2625.98
Torre;2015;392;6510.01;6523.9;3656.0
Torre;2016;438;5789.32;5899.56;3537.66
Torre;2017;231;5438.83;5387.23;3442.33
Torre;2018;273;5077.67;5026.94;3339.4
Torre;2019;360;4972.39;5021.52;3391.15
Torre;2020;338;5031.78;5091.76;3544.33
Torre;2021;435;4091.26;4491.71;3108.95
Torre;2022;477;4352.73;4297.55;3620.94
Torre;2023;394;4560.77;4315.87;3969.11
Torre;2024;367;4343.21;4165.55;3949.45
Torre;2025;386;4384.16;4495.46;4177.44
Torre;2026;386;4948.46;5061.55;4878.52
Torreao;2015;13;3831.42;3907.96;2171.4
Torreao;2016;41;5919.88;6652.11;3666.83
Torreao;2017;50;6266.45;6768.94;3955.96
Torreao;2018;79;5226.53;5863.27;3447.3
Torreao;2019;67;5217.92;5391.19;3558.64
Torreao;2020;51;4993.58;5377.94;3525.88
Torreao;2021;39;4448.04;4962.71;3415.53
Torreao;2022;38;3804.41;3711.9;3158.79
Torreao;2023;72;4854.15;5087.03;4244.05
Torreao;2024;55;4421.42;5152.14;4004.55
Torreao;2025;74;3700.49;3748.8;3514.72
Torreao;2026;18;3437.73;3449.68;3401.37
Torroes;2015;11;3725.3;3762.7;2104.8
Torroes;2016;10;3024.69;3001.15;1857.09
Torroes;2017;7;3994.3;3709.21;2532.56
Torroes;2018;6;3194.68;3315.9;2087.81
Torroes;2019;6;3368.25;3452.31;2301.29
Torroes;2020;9;3431.68;3179.73;2428.19
Torroes;2021;8;4327.84;2761.28;3236.71
Torroes;2022;11;4225.11;3507.69;3522.09
Torroes;2023;17;3298.3;2873.84;2865.64
Torroes;2024;14;3634.9;2695.62;3305.9
Torroes;2025;14;2713.11;2629.6;2581.69
Torroes;2026;7;2323.23;2272.6;2311.85
Toto;2020;1;3374.32;3374.32;2375.84
Toto;2021;1;4587.47;4587.47;3410.06
Toto;2025;2;4018.44;4018.44;3776.99
Varzea;2015;429;4759.88;4706.39;2666.05
Varzea;2016;222;4151.62;4031.92;2539.92
Varzea;2017;307;4271.1;4208.65;2697.56
Varzea;2018;322;4051.24;3952.82;2658.82
Varzea;2019;259;3726.69;3727.69;2535.33
Varzea;2020;336;3468.47;3486.29;2442.34
Varzea;2021;626;3904.73;4060.9;2995.63
Varzea;2022;697;3342.52;2918.74;2786.5
Varzea;2023;551;3382.88;2938.18;2940.86
Varzea;2024;766;3926.64;3865.62;3562.72
Varzea;2025;1096;3973.12;3537.22;3780.17
Varzea;2026;867;3775.83;3299.76;3743.62
Vasco Da Gama;2015;14;4525.07;4223.44;2558.5
Vasco Da Gama;2016;20;3763.49;3639.02;2308.96
Vasco Da Gama;2017;30;4355.6;3451.78;2766.46
Vasco Da Gama;2018;19;3619.47;3385.69;2365.81
Vasco Da Gama;2019;12;3285.74;3751.76;2233.16
Vasco Da Gama;2020;12;3691.24;3814.38;2598.34
Vasco Da Gama;2021;60;2820.1;2755.47;2195.51
Vasco Da Gama;2022;277;2664.31;2635.32;2193.01
Vasco Da Gama;2023;17;3219.88;2456.4;2800.88
Vasco Da Gama;2024;27;3399.83;2963.45;3093.8
Vasco Da Gama;2025;278;4323.39;4373.15;4144.85
Vasco Da Gama;2026;105;4505.37;4790.51;4443.48
Zumbi;2015;7;3653.94;3977.2;2038.47
Zumbi;2016;6;3471.45;3402.76;2119.47
Zumbi;2017;8;3177.78;3205.66;2012.2
Zumbi;2018;7;3115.08;2775.58;2038.26
Zumbi;2019;9;2976.6;3042.9;2033.51
Zumbi;2020;9;2832.19;2775.86;2002.74
Zumbi;2021;29;3299.25;3707.45;2551.29
Zumbi;2022;17;3027.24;2582.18;2518.95
Zumbi;2023;57;4431.46;4944.63;3876.87
Zumbi;2024;34;4328.72;4774.54;3905.18
Zumbi;2025;29;4004.08;3773.55;3798.98
Zumbi;2026;10;2883.27;2574.54;2844.42
