bairro_padronizado;ano_arquivo;total_transacoes;m2_privativo_medio;m2_privativo_mediana
Morro Da Conceicao;2021;3;4703.94;4116.15
Morro Da Conceicao;2022;1;3363.6;3363.6
Morro Da Conceicao;2023;3;3193.1;3236.51
Morro Da Conceicao;2024;2;2690.11;2690.11
Morro Da Conceicao;2025;2;4741.62;4741.62
Morro Da Conceicao;2026;2;3489.22;3489.22
Mustardinha;2015;2;1754.16;1754.16
Mustardinha;2016;3;2438.59;2879.02
Mustardinha;2017;1;2132.92;2132.92
Mustardinha;2018;1;2043.77;2043.77
Mustardinha;2019;7;2956.07;2595.3
Mustardinha;2022;3;2263.93;2143.1
Mustardinha;2023;4;3749.4;3909.76
Mustardinha;2024;4;1694.92;1805.86
Mustardinha;2025;1;2854.47;2854.47
Mustardinha;2026;1;2061.01;2061.01
Nova Descoberta;2015;7;2179.71;1754.56
Nova Descoberta;2016;2;1761.33;1761.33
Nova Descoberta;2017;2;3661.72;3661.72
Nova Descoberta;2018;8;4328.09;4151.2
Nova Descoberta;2019;2;2795.35;2795.35
Nova Descoberta;2020;1;1929.41;1929.41
Nova Descoberta;2021;4;2260.82;2222.84
Nova Descoberta;2022;6;4993.03;3853.34
Nova Descoberta;2023;6;2920.5;2800.24
Nova Descoberta;2024;7;2978.06;3002.28
Nova Descoberta;2025;6;3939.9;2551.74
Nova Descoberta;2026;2;3652.6;3652.6
Paissandu;2015;18;8326.57;8348.51
Paissandu;2016;118;8807.64;9011.63
Paissandu;2017;35;7827.66;8409.16
Paissandu;2018;99;7986.93;8300.28
Paissandu;2019;90;6253.39;7766.2
Paissandu;2020;34;6369.09;7445.53
Paissandu;2021;58;6130.99;7098.44
Paissandu;2022;62;5862.37;6563.66
Paissandu;2023;95;5307.05;5470.94
Paissandu;2024;57;5006.76;5254.9
Paissandu;2025;73;4924.49;4927.06
Paissandu;2026;69;5231.42;4885.12
Parnamirim;2015;88;9717.56;10163.36
Parnamirim;2016;92;9244.45;9215.8
Parnamirim;2017;74;7622.09;7105.06
Parnamirim;2018;82;8218.16;7777.22
Parnamirim;2019;109;7456.79;7797.61
Parnamirim;2020;172;6587.84;6672.86
Parnamirim;2021;165;7109.11;6870.61
Parnamirim;2022;175;7915.2;7866.48
Parnamirim;2023;194;7128.02;7139.31
Parnamirim;2024;235;7926.09;7212.81
Parnamirim;2025;219;7448.59;6905.6
Parnamirim;2026;116;6974.91;6534.32
Passarinho;2017;1;1684.88;1684.88
Passarinho;2019;1;2073.53;2073.53
Passarinho;2021;1;3450.72;3450.72
Passarinho;2024;447;4523.38;4523.58
Passarinho;2025;226;4565.57;4570.13
Passarinho;2026;39;4728.97;4682.87
Pina;2015;660;9188.82;8964.18
Pina;2016;616;8796.23;8157.0
Pina;2017;382;8517.68;7996.91
Pina;2018;406;8688.22;8457.52
Pina;2019;357;8137.75;7713.92
Pina;2020;282;8914.6;8556.09
Pina;2021;458;8921.67;8733.41
Pina;2022;1160;8229.43;8733.86
Pina;2023;578;7931.39;8256.66
Pina;2024;712;6779.29;6769.72
Pina;2025;428;7925.13;7817.26
Pina;2026;299;8634.89;7969.64
Poco;2015;98;8816.14;9492.77
Poco;2016;180;5710.82;4645.15
Poco;2017;108;8443.72;9068.57
Poco;2018;76;7877.57;8281.7
Poco;2019;64;8007.76;8244.64
Poco;2020;58;7760.12;7910.83
Poco;2021;112;7595.45;7790.32
Poco;2022;71;6838.04;6949.45
Poco;2023;81;7310.2;7509.33
Poco;2024;87;6572.83;6345.32
Poco;2025;136;7887.91;8410.77
Poco;2026;65;7675.35;7426.05
Ponto De Parada;2015;6;7665.4;7761.46
Ponto De Parada;2016;33;7702.6;8100.75
Ponto De Parada;2017;21;6517.51;6796.67
Ponto De Parada;2018;31;6506.61;6844.78
Ponto De Parada;2019;54;4646.81;4996.57
Ponto De Parada;2020;26;5571.61;6662.46
Ponto De Parada;2021;23;5129.06;5653.21
Ponto De Parada;2022;22;5345.47;5399.43
Ponto De Parada;2023;18;4981.14;5083.02
Ponto De Parada;2024;10;5894.61;5841.53
Ponto De Parada;2025;13;4367.58;3746.02
Ponto De Parada;2026;7;5101.08;4910.56
Porto Da Madeira;2015;14;5096.46;5251.75
Porto Da Madeira;2016;7;4687.02;4711.03
Porto Da Madeira;2017;14;4449.66;4344.18
Porto Da Madeira;2018;22;3921.24;3711.79
Porto Da Madeira;2019;19;4159.3;3974.89
Porto Da Madeira;2020;13;3601.63;3638.64
Porto Da Madeira;2021;18;3619.35;3701.67
Porto Da Madeira;2022;16;4064.91;4177.01
Porto Da Madeira;2023;15;3359.8;3077.53
Porto Da Madeira;2024;24;3449.2;3282.82
Porto Da Madeira;2025;29;3851.69;3179.95
Porto Da Madeira;2026;14;3115.52;3092.72
Prado;2015;76;6596.64;6568.39
Prado;2016;57;6509.35;6674.88
Prado;2017;87;6493.66;7228.47
Prado;2018;61;5408.23;5805.34
Prado;2019;54;5833.41;6104.86
Prado;2020;75;5641.53;5876.26
Prado;2021;138;5687.93;6201.92
Prado;2022;61;4404.05;4303.79
Prado;2023;55;4616.62;4347.32
Prado;2024;71;4187.14;3927.11
Prado;2025;75;4074.04;3981.51
Prado;2026;42;4344.3;4456.0
Recife;2015;7;4884.28;4234.98
Recife;2016;7;4406.02;4098.04
Recife;2017;9;4376.51;5564.99
Recife;2018;21;4707.97;4682.79
Recife;2019;15;4259.79;4243.44
Recife;2020;6;7443.43;7073.92
Recife;2021;27;5365.85;4137.17
Recife;2022;11;5168.47;4005.73
Recife;2023;18;6194.78;5571.22
Recife;2024;11;4612.02;3305.87
Recife;2025;212;3908.57;3901.3
Recife;2026;99;10546.29;11538.13
Rosarinho;2015;342;9987.83;10431.56
Rosarinho;2016;267;9423.59;9692.83
Rosarinho;2017;204;7567.36;8482.44
Rosarinho;2018;160;8117.26;8264.06
Rosarinho;2019;145;8248.86;8203.19
Rosarinho;2020;149;7654.23;7728.01
Rosarinho;2021;272;7068.21;6948.76
Rosarinho;2022;265;6470.29;6414.74
Rosarinho;2023;159;6874.18;6863.48
Rosarinho;2024;191;7036.19;7049.36
Rosarinho;2025;160;6977.72;7031.33
Rosarinho;2026;108;7044.87;6954.68
San Martin;2015;54;6335.41;7180.6
San Martin;2016;52;5758.07;5853.0
San Martin;2017;44;5214.13;6023.01
San Martin;2018;45;5058.88;4642.48
San Martin;2019;50;4894.99;5170.71
San Martin;2020;38;5120.68;5075.36
San Martin;2021;79;4968.94;5139.83
San Martin;2022;57;4675.87;4600.18
San Martin;2023;73;4338.28;4243.72
San Martin;2024;81;4783.52;4747.06
San Martin;2025;70;4160.28;3836.27
San Martin;2026;235;7526.3;7971.02
Sancho;2015;1;8377.87;8377.87
Sancho;2016;6;3780.92;3094.92
Sancho;2017;5;5697.7;6239.52
Sancho;2018;7;4052.14;4304.15
Sancho;2019;4;3782.1;3724.26
Sancho;2020;10;5184.38;5087.13
Sancho;2021;8;5012.99;5145.15
Sancho;2022;18;2879.31;2770.09
Sancho;2023;10;3390.86;2755.48
Sancho;2024;6;5764.82;5402.24
Sancho;2025;5;3439.76;2894.3
Sancho;2026;7;3970.46;3161.38
Santana;2015;30;8124.72;8112.99
Santana;2016;92;4648.71;2735.27
Santana;2017;33;6322.06;6980.2
Santana;2018;32;8240.84;7825.74
Santana;2019;53;6283.84;5361.32
Santana;2020;25;6652.23;6796.63
Santana;2021;80;4986.5;5124.9
Santana;2022;48;6501.75;6353.6
Santana;2023;76;8100.17;8068.36
Santana;2024;53;7277.72;6607.42
Santana;2025;33;5711.2;5837.8
Santana;2026;21;6372.01;5915.97
Santo Amaro;2015;119;5528.29;5194.2
Santo Amaro;2016;152;5409.84;4658.55
Santo Amaro;2017;149;5153.4;4557.52
Santo Amaro;2018;778;8608.96;8634.09
Santo Amaro;2019;1452;9394.98;8410.35
Santo Amaro;2020;643;7415.56;7823.46
Santo Amaro;2021;394;7094.82;7970.94
Santo Amaro;2022;242;5656.44;5370.96
Santo Amaro;2023;172;5476.99;4834.38
Santo Amaro;2024;211;5227.66;4801.96
Santo Amaro;2025;294;6195.93;6958.32
Santo Amaro;2026;117;5233.54;4497.16
Santo Antonio;2015;63;4332.52;3169.48
Santo Antonio;2016;63;3943.31;3032.57
Santo Antonio;2017;75;4942.32;3288.93
Santo Antonio;2018;52;4453.65;4101.4
Santo Antonio;2019;79;3923.19;3744.14
Santo Antonio;2020;48;3560.62;3397.36
Santo Antonio;2021;117;2871.83;3000.92
Santo Antonio;2022;54;2960.85;2766.16
Santo Antonio;2023;87;2889.63;2519.39
Santo Antonio;2024;52;3142.58;2363.56
Santo Antonio;2025;54;2260.23;2170.58
Santo Antonio;2026;35;4047.86;2749.27
Sao Jose;2015;25;7493.13;5569.36
Sao Jose;2016;83;7095.75;5633.8
Sao Jose;2017;23;5085.72;3650.31
Sao Jose;2018;47;7073.37;6157.59
Sao Jose;2019;46;6603.99;4776.04
Sao Jose;2020;20;7704.69;6999.72
Sao Jose;2021;52;6899.87;7020.1
Sao Jose;2022;52;6020.09;4458.34
Sao Jose;2023;48;6150.38;4649.55
Sao Jose;2024;333;9728.2;9798.73
Sao Jose;2025;126;8581.97;10806.66
Sao Jose;2026;62;8526.98;9240.2
Sitio Dos Pintos;2017;3;2382.68;2226.24
Sitio Dos Pintos;2018;1;4206.41;4206.41
Sitio Dos Pintos;2019;4;3563.69;3490.1
Sitio Dos Pintos;2020;2;2818.06;2818.06
Sitio Dos Pintos;2021;6;3302.24;3673.18
Sitio Dos Pintos;2022;2;4248.88;4248.88
Sitio Dos Pintos;2024;3;5123.72;4666.09
Sitio Dos Pintos;2025;3;5176.55;5160.49
Sitio Dos Pintos;2026;3;4502.97;5276.41
Soledade;2015;27;7339.03;8183.67
Soledade;2016;27;7587.74;8046.72
Soledade;2017;26;5298.82;5519.2
Soledade;2018;26;5040.46;5172.43
Soledade;2019;24;5001.57;4783.04
Soledade;2020;81;6324.29;5956.51
Soledade;2021;134;7300.78;8098.64
Soledade;2022;110;5912.23;5818.6
Soledade;2023;64;5817.23;5498.68
Soledade;2024;84;5434.05;4993.16
Soledade;2025;82;5902.34;5319.67
Soledade;2026;47;5404.65;4653.07
Tamarineira;2015;232;8498.18;8798.67
Tamarineira;2016;201;7626.87;7964.48
Tamarineira;2017;192;5951.69;5766.12
Tamarineira;2018;250;8687.43;8912.14
Tamarineira;2019;226;7152.13;7171.1
Tamarineira;2020;218;7093.99;6857.36
Tamarineira;2021;236;6215.31;6071.31
Tamarineira;2022;242;6066.91;5620.98
Tamarineira;2023;250;6022.96;5646.68
Tamarineira;2024;297;6412.51;6533.22
Tamarineira;2025;264;6363.53;6293.07
Tamarineira;2026;173;5934.04;5870.5
Tejipio;2015;17;6039.68;6442.29
Tejipio;2016;139;6374.07;6693.2
Tejipio;2017;132;5970.11;6053.71
Tejipio;2018;85;5289.84;5528.87
Tejipio;2019;244;4191.37;4120.16
Tejipio;2020;64;4388.55;4279.71
Tejipio;2021;36;4558.95;4360.82
Tejipio;2022;36;4033.32;4012.58
Tejipio;2023;63;4153.22;4103.56
Tejipio;2024;82;3852.54;3651.1
Tejipio;2025;87;3944.81;3967.69
Tejipio;2026;49;3565.24;3666.52
Torre;2015;392;9261.04;9438.3
Torre;2016;438;8329.47;8606.31
Torre;2017;232;7659.48;7683.82
Torre;2018;272;7195.48;7265.02
Torre;2019;360;7077.36;7327.23
Torre;2020;339;7250.51;7412.39
Torre;2021;382;6431.09;6778.82
Torre;2022;477;6129.92;6021.3
Torre;2023;394;6463.96;6189.82
Torre;2024;366;6082.04;6020.05
Torre;2025;383;6222.12;6500.5
Torre;2026;386;7096.53;7376.22
Torreao;2015;13;5045.68;5428.04
Torreao;2016;41;8209.27;9239.21
Torreao;2017;50;8648.13;9401.19
Torreao;2018;79;7416.85;8421.22
Torreao;2019;67;7467.41;7928.08
Torreao;2020;51;6997.41;7908.43
Torreao;2021;39;6092.56;6791.35
Torreao;2022;38;5305.39;5458.51
Torreao;2023;72;7056.31;7448.26
Torreao;2024;55;6369.71;7314.71
Torreao;2025;74;5222.78;5421.86
Torreao;2026;18;4826.96;5072.74
Torroes;2015;11;3980.91;4135.18
Torroes;2016;10;3361.72;3183.06
Torroes;2017;7;3994.3;3709.21
Torroes;2018;6;3695.88;3783.92
Torroes;2019;6;3368.25;3452.31
Torroes;2020;9;3595.38;3897.06
Torroes;2021;8;4999.64;3353.36
Torroes;2022;11;4461.99;4384.47
Torroes;2023;17;3534.96;3280.93
Torroes;2024;14;3877.3;3095.36
Torroes;2025;14;3002.57;3090.14
Torroes;2026;7;2873.4;2840.66
Toto;2020;1;3374.32;3374.32
Toto;2021;1;4587.47;4587.47
Toto;2025;2;4018.44;4018.44
Varzea;2015;429;6466.0;6537.12
Varzea;2016;221;5443.53;5304.55
Varzea;2017;307;5760.67;5711.16
Varzea;2018;322;5464.67;5381.34
Varzea;2019;261;5043.93;5066.49
Varzea;2020;337;4709.16;4678.16
Varzea;2021;626;5408.71;5828.04
Varzea;2022;699;4622.56;3830.5
Varzea;2023;551;4654.62;3957.39
Varzea;2024;767;5573.4;5468.56
Varzea;2025;1096;5691.84;5073.76
Varzea;2026;867;5416.14;4806.83
Vasco Da Gama;2015;14;5146.27;5137.33
Vasco Da Gama;2016;20;4078.93;3945.75
Vasco Da Gama;2017;30;4586.59;4103.84
Vasco Da Gama;2018;20;4789.47;4281.38
Vasco Da Gama;2019;12;3624.7;3975.54
Vasco Da Gama;2020;12;4225.92;4554.68
Vasco Da Gama;2021;60;3812.64;3826.75
Vasco Da Gama;2022;277;3626.77;3659.88
Vasco Da Gama;2023;17;3714.98;3411.41
Vasco Da Gama;2024;27;3903.45;3652.96
Vasco Da Gama;2025;277;6290.71;6430.74
Vasco Da Gama;2026;105;6543.43;7045.81
Zumbi;2015;7;4362.35;3977.2
Zumbi;2016;6;3635.39;3768.94
Zumbi;2017;8;3684.62;3973.51
Zumbi;2018;8;5061.14;3464.18
Zumbi;2019;9;3607.82;3042.9
Zumbi;2020;9;3116.61;2775.86
Zumbi;2021;29;4312.97;5148.94
Zumbi;2022;17;3652.82;3388.06
Zumbi;2023;57;6421.13;7271.86
Zumbi;2024;34;6230.97;7021.77
Zumbi;2025;28;5670.9;5299.75
Zumbi;2026;10;3890.21;3374.02
