endereco_edificio;bairro_padronizado;logradouro_fmt;numero_fmt;total_transacoes;m2_privativo_medio;m2_privativo_mediana;valor_medio_corrigido;valor_min_corrigido;valor_max_corrigido;area_privativa_media;latitude;longitude
Av Doutor Jose Rufino, 2887 - Barro;Barro;Av Doutor Jose Rufino;2887;334;4608.72;4602.14;273860.95;147790.38;326494.18;59.42;-8.091741;-34.944952
Rua Ribeiro De Brito, 950 - Boa Viagem;Boa Viagem;Rua Ribeiro De Brito;950;331;8460.03;8342.04;291441.76;49072.57;404942.3;34.45;-8.122666;-34.904887
Est Da Mumbeca, 945 - Guabiraba;Guabiraba;Est Da Mumbeca;945;330;4171.07;4412.64;181651.52;61352.2;207128.71;43.55;-7.959258;-34.944184
Rua Luiz Cesario De Melo, 56 - Vasco Da Gama;Vasco Da Gama;Rua Luiz Cesario De Melo;56;328;6821.08;6993.99;244924.29;228312.01;296566.89;35.92;-8.018805;-34.921872
Av Conde Da Boa Vista, 1511 - Boa Vista;Boa Vista;Av Conde Da Boa Vista;1511;313;7732.18;7967.62;419674.91;283913.9;648540.6;54.19;-8.056735;-34.894326
Rua Padre Carapuceiro, 777 - Boa Viagem;Boa Viagem;Rua Padre Carapuceiro;777;311;9683.81;9408.53;3919221.29;177898.21;54540720.39;394.11;-8.119403;-34.904694
Rua Queira Deus, 178 - Tejipio;Tejipio;Rua Queira Deus;178;303;3926.27;4081.07;197805.36;78477.66;218781.51;50.38;-8.090523;-34.951295
Est De Belem, 1000 - Campo Grande;Campo Grande;Est De Belem;1000;296;7167.12;7135.51;593415.28;59293.72;725991.06;82.78;-8.034427;-34.886061
Av Governador Agamenon Magalhaes, 4318 - Paissandu;Paissandu;Av Governador Agamenon Magalhaes;4318;289;6933.13;6762.24;375036.59;32777.34;714131.71;54.13;-8.042688;-34.879778
Rua Da Aurora, 1541 - Santo Amaro;Santo Amaro;Rua Da Aurora;1541;282;5733.87;6871.94;1250554.5;248720.36;2694820.76;218.82;-8.057413;-34.879206
Rua Gen Polidoro, 320 - Varzea;Varzea;Rua Gen Polidoro;320;280;6463.91;6399.6;411967.23;68127.4;709684.9;63.64;-8.039391;-34.946793
Rua De Apipucos, 685 - Monteiro;Monteiro;Rua De Apipucos;685;274;5731.68;6554.48;1187363.12;156088.05;2500000.0;206.65;-8.026225;-34.930101
Rua Dr Pedro De Mello Cahu, 201 - Boa Viagem;Boa Viagem;Rua Dr Pedro De Mello Cahu;201;269;7312.51;7908.15;368412.75;78875.03;746984.82;50.45;-8.110967;-34.896068
Rua Adelmar Lafayette, 16 - Caxanga;Caxanga;Rua Adelmar Lafayette;16;260;6751.6;6713.15;320455.66;263763.96;364204.95;47.46;-8.029024;-34.953138
Rua Coronel Urbano Ribeiro De Sena, 1045 - Campina Do Barreto;Campina Do Barreto;Rua Coronel Urbano Ribeiro De Sena;1045;255;4785.64;4813.97;272536.29;226130.67;325225.8;56.98;-8.013324;-34.882916
Rua Guimaraes Peixoto, 75 - Casa Amarela;Casa Amarela;Rua Guimaraes Peixoto;75;255;7091.93;6532.56;348904.46;74977.8;477203.18;49.2;-8.029148;-34.907625
Rua Sa E Souza, 764 - Boa Viagem;Boa Viagem;Rua Sa E Souza;764;254;7623.73;7717.15;472060.5;243713.23;700428.91;62.13;-8.139044;-34.907744
Av Boa Viagem, 344 - Pina;Pina;Av Boa Viagem;344;251;12100.96;11355.37;615260.53;170952.35;1772278.08;50.75;-8.094584;-34.883414
Rua Bruno Veloso, 1280 - Boa Viagem;Boa Viagem;Rua Bruno Veloso;1280;251;9934.48;9879.07;835492.2;336764.17;2385689.55;85.83;-8.120019;-34.907495
Rua Cel Urbano Ribeiro De Sena, 990 - Campina Do Barreto;Campina Do Barreto;Rua Cel Urbano Ribeiro De Sena;990;244;4787.2;4787.3;278632.18;224139.46;325225.8;58.26;-8.013324;-34.882916
Rua Senador Jose Henrique, 231 - Ilha Do Leite;Ilha Do Leite;Rua Senador Jose Henrique;231;241;7880.98;7695.09;1667622.07;452110.82;18894853.74;211.41;-8.065572;-34.896309
