endereco_edificio;bairro_padronizado;logradouro_fmt;numero_fmt;total_transacoes;m2_privativo_medio;m2_privativo_mediana;valor_medio_corrigido;valor_min_corrigido;valor_max_corrigido;area_privativa_media;latitude;longitude
Av Boa Viagem, 4520 - Boa Viagem;Boa Viagem;Av Boa Viagem;4520;32;13395.08;13012.0;3320908.98;2911019.69;4191981.13;247.92;-8.128681;-34.898787
Rua Dr Raul Lafayette, 122 - Boa Viagem;Boa Viagem;Rua Dr Raul Lafayette;122;32;7006.0;6492.78;343784.31;221047.54;523119.23;49.07;-8.121956;-34.900413
Av Helio Falcao, 355 - Boa Viagem;Boa Viagem;Av Helio Falcao;355;32;6808.55;6615.8;643869.06;488635.45;931116.64;94.58;-8.124063;-34.90255
Rua Do Espinheiro, 390 - Espinheiro;Espinheiro;Rua Do Espinheiro;390;32;7651.08;7920.0;1241005.57;718281.56;1584760.12;162.2;-8.045148;-34.894456
Av Governador Carlos De Lima Cavalcanti, 63 - Boa Vista;Boa Vista;Av Governador Carlos De Lima Cavalcanti;63;32;6231.05;6128.43;257884.56;141680.63;349168.74;41.43;-8.056423;-34.895822
Est Do Encanamento, 608 - Casa Amarela;Casa Amarela;Est Do Encanamento;608;32;7067.4;7083.84;900457.18;536874.68;1180833.44;127.41;-8.031028;-34.915639
Av Santos Dumont, 420 - Aflitos;Aflitos;Av Santos Dumont;420;32;5626.05;5738.5;475859.84;338190.31;632969.22;84.54;-8.037508;-34.898133
Rua Jorge Couceiro Da Costa Eiras, 649 - Boa Viagem;Boa Viagem;Rua Jorge Couceiro Da Costa Eiras;649;32;5822.94;5742.82;364984.9;276499.11;777546.15;63.12;-8.122318;-34.90737
Rua Dona Benvinda De Farias, 562 - Boa Viagem;Boa Viagem;Rua Dona Benvinda De Farias;562;31;5905.28;5476.67;481203.74;381636.84;654346.58;81.54;-8.109391;-34.893753
Rua Dr Genaro Guimaraes, 221 - Casa Amarela;Casa Amarela;Rua Dr Genaro Guimaraes;221;31;7918.01;7388.51;877869.47;564888.08;1397327.04;110.87;-8.029354;-34.920196
Rua Joao Dias Martins, 73 - Boa Viagem;Boa Viagem;Rua Joao Dias Martins;73;31;6264.39;5942.84;539932.99;422510.13;773071.67;86.25;-8.131165;-34.905968
Av Joao De Barros, 633 - Boa Vista;Boa Vista;Av Joao De Barros;633;31;4569.8;4645.98;312403.65;141700.01;489664.07;69.67;-8.04897;-34.890619
Av Conselheiro Aguiar, 4582 - Boa Viagem;Boa Viagem;Av Conselheiro Aguiar;4582;31;5589.97;5382.67;386379.08;292601.24;581377.91;69.12;-8.127313;-34.900308
Av Boa Viagem, 3650 - Boa Viagem;Boa Viagem;Av Boa Viagem;3650;31;20075.3;20158.64;4476189.31;3869180.99;5630898.24;222.97;-8.121356;-34.896107
Av Conselheiro Rosa E Silva, 502 - Gracas;Gracas;Av Conselheiro Rosa E Silva;502;31;7952.66;7768.81;608219.95;172160.94;841098.67;76.45;-8.046895;-34.89674
Rua Capitao Rebelinho, 396 - Pina;Pina;Rua Capitao Rebelinho;396;31;8204.3;8350.89;578156.63;413287.99;801134.17;70.47;-8.09441;-34.883968
Av Boa Viagem, 6274 - Boa Viagem;Boa Viagem;Av Boa Viagem;6274;31;14029.04;13405.83;1030867.69;715941.85;1938437.25;73.52;-8.143516;-34.904633
Rua Luiz Pimentel, 152 - Boa Viagem;Boa Viagem;Rua Luiz Pimentel;152;31;5735.8;5733.64;651704.52;358555.91;1104888.65;115.5;-8.137365;-34.906227
Rua Professor Chaves Batista, 170 - Varzea;Varzea;Rua Professor Chaves Batista;170;31;6680.75;6981.73;480970.42;332998.23;604586.72;72.22;-8.038853;-34.945145
Rua Aurelio Domingues, 180 - Torre;Torre;Rua Aurelio Domingues;180;31;9279.05;9888.13;2303112.03;837724.45;5306385.33;246.62;-8.038108;-34.907398
Rua Sebastiao Alves, 178 - Tamarineira;Tamarineira;Rua Sebastiao Alves;178;31;6857.38;6739.47;565576.06;419943.46;845640.6;82.32;-8.031991;-34.90675
Av Vinte De Janeiro, 1080 - Boa Viagem;Boa Viagem;Av Vinte De Janeiro;1080;31;3657.06;3143.34;264953.81;181434.1;447652.23;72.45;-8.142186;-34.915752
Rua Ernesto De Paula Santos, 1342 - Boa Viagem;Boa Viagem;Rua Ernesto De Paula Santos;1342;31;6376.52;6242.47;678203.84;558417.7;1034894.77;106.36;-8.124052;-34.90732
Rua Dom Jose Lopes, 604 - Boa Viagem;Boa Viagem;Rua Dom Jose Lopes;604;31;8900.67;8440.25;875024.88;637102.45;1250708.09;98.31;-8.126447;-34.903984
Rua Setubal, 638 - Boa Viagem;Boa Viagem;Rua Setubal;638;31;12887.63;12244.13;2053728.64;1400501.97;3606548.73;159.36;-8.136511;-34.902852
Av Conselheiro Rosa E Silva, 327 - Gracas;Gracas;Av Conselheiro Rosa E Silva;327;31;6905.97;6904.86;665807.34;517922.11;957136.35;96.41;-8.048835;-34.897328
Av Lins Petit, 320 - Paissandu;Paissandu;Av Lins Petit;320;31;3858.39;5044.36;272111.1;99820.47;443560.45;71.21;-8.061958;-34.895234
Av Professor Jose Dos Anjos, 110 - Casa Amarela;Casa Amarela;Av Professor Jose Dos Anjos;110;31;6633.73;6496.64;497198.12;374475.14;667427.99;74.95;-8.026928;-34.908633
Rua Jose Aderval Chaves, 230 - Boa Viagem;Boa Viagem;Rua Jose Aderval Chaves;230;31;8568.8;8071.82;1058520.76;62562.63;1607750.14;120.43;-8.107745;-34.891803
Rua Mamanguape, 623 - Boa Viagem;Boa Viagem;Rua Mamanguape;623;31;6832.41;6795.62;758880.59;588036.51;890652.29;111.1;-8.11509;-34.899557
Rua Coronel Anizio Rodrigues Coelho, 561 - Boa Viagem;Boa Viagem;Rua Coronel Anizio Rodrigues Coelho;561;31;5528.76;5460.51;615857.18;123072.61;977406.6;111.72;-8.125877;-34.90672
Av Conde Da Boa Vista, 121 - Boa Vista;Boa Vista;Av Conde Da Boa Vista;121;31;4506.01;3782.26;257548.79;28264.81;1565119.27;51.82;-8.061712;-34.882671
Rua Jose Paraiso, 25 - Boa Viagem;Boa Viagem;Rua Jose Paraiso;25;31;8657.54;8649.29;793022.1;592075.0;1016751.64;91.63;-8.135262;-34.903597
Av Dezessete De Agosto, 1845 - Poco;Poco;Av Dezessete De Agosto;1845;31;7443.2;7049.06;506500.12;384073.9;745241.09;68.15;-8.033031;-34.923371
Rua Do Espinheiro, 685 - Espinheiro;Espinheiro;Rua Do Espinheiro;685;31;6159.42;6280.71;580279.2;50819.61;811245.41;94.21;-8.042751;-34.893323
Rua Tenente Domingos De Brito, 393 - Boa Viagem;Boa Viagem;Rua Tenente Domingos De Brito;393;31;7672.18;7661.61;640089.97;480000.0;826583.41;83.43;-8.124575;-34.905065
Rua Desembargador Joao Paes, 737 - Boa Viagem;Boa Viagem;Rua Desembargador Joao Paes;737;31;5438.29;5307.03;700241.78;396589.69;1354508.57;128.92;-8.126462;-34.905882
Rua Dos Navegantes, 293 - Boa Viagem;Boa Viagem;Rua Dos Navegantes;293;31;6113.29;6178.35;1706881.01;469003.66;3122250.26;285.27;-8.129526;-34.899791
Rua Engenho Poeta, 193 - Caxanga;Caxanga;Rua Engenho Poeta;193;31;5992.66;5966.41;1408193.09;575870.05;2164631.31;236.06;-8.031441;-34.95195
Rua Pedro Americo Galvao, 109 - Boa Viagem;Boa Viagem;Rua Pedro Americo Galvao;109;31;10579.77;10738.53;1677739.8;1234259.89;2203426.9;158.58;-8.101581;-34.886441
Rua Sao Salvador, 200 - Espinheiro;Espinheiro;Rua Sao Salvador;200;31;8012.64;7685.58;727818.92;540579.26;893146.97;90.9;-8.04947;-34.894728
Rua Professora Anunciada Da Rocha Melo, 30 - Madalena;Madalena;Rua Professora Anunciada Da Rocha Melo;30;31;8399.84;8437.09;991264.56;757009.84;1421510.91;118.01;-8.048487;-34.906669
Av Conde Da Boa Vista, 250 - Boa Vista;Boa Vista;Av Conde Da Boa Vista;250;31;3706.75;3225.62;193009.6;68748.28;567166.73;54.79;-8.057897;-34.891244
Rua Evaristo Da Veiga, 220 - Casa Amarela;Casa Amarela;Rua Evaristo Da Veiga;220;31;8100.61;8278.65;774195.73;69235.23;1095184.87;95.57;-8.029017;-34.915414
Rua Jose Trajano, 179 - Boa Viagem;Boa Viagem;Rua Jose Trajano;179;31;5290.68;5165.68;532564.37;436407.18;654058.64;100.66;-8.121034;-34.899376
Av Boa Viagem, 6500 - Boa Viagem;Boa Viagem;Av Boa Viagem;6500;31;7644.71;7213.35;1364545.64;817782.44;2577415.69;178.93;-8.145588;-34.905925
Rua Gen Vargas, 345 - Iputinga;Iputinga;Rua Gen Vargas;345;31;5040.59;5038.16;319676.96;289153.38;345350.33;63.42;-8.046542;-34.943524
Rua Capitao Rebelinho, 600 - Pina;Pina;Rua Capitao Rebelinho;600;30;11946.24;11662.37;1458399.94;1077056.32;2576907.54;122.08;-8.091784;-34.883122
Rua Quarenta E Oito, 117 - Espinheiro;Espinheiro;Rua Quarenta E Oito;117;30;7496.84;7441.8;567438.53;308669.6;4365831.15;74.3;-8.044235;-34.891044
Rua Marques Do Herval, 191 - Santo Antonio;Santo Antonio;Rua Marques Do Herval;191;30;1292.85;1245.73;25351.08;20162.29;38237.13;19.72;-8.066309;-34.882133
Rua Jorge Couceiro Da Costa Eiras, 650 - Boa Viagem;Boa Viagem;Rua Jorge Couceiro Da Costa Eiras;650;30;5574.26;5763.1;430297.98;150604.49;613312.21;77.23;-8.121887;-34.907385
Rua Felix Cavalcante Albuquerque, 107 - Prado;Prado;Rua Felix Cavalcante Albuquerque;107;30;6405.49;6266.44;446791.06;314013.42;681895.6;70.03;-8.057427;-34.913436
Rua Dr Joao Guilherme De Pontes Sobrinho, 505 - Boa Viagem;Boa Viagem;Rua Dr Joao Guilherme De Pontes Sobrinho;505;30;5673.25;5522.34;521582.2;358329.89;708500.06;91.95;-8.125469;-34.904351
Rua Conde De Iraja, 893 - Torre;Torre;Rua Conde De Iraja;893;30;4631.52;4652.73;420844.92;330676.95;595778.22;90.91;-8.046839;-34.911764
Rua Eng Leonardo Arcoverde, 247 - Madalena;Madalena;Rua Eng Leonardo Arcoverde;247;30;6859.74;6430.38;437073.52;326718.76;661142.77;63.7;-8.052411;-34.912571
Rua Dona Magina Pontual, 147 - Boa Viagem;Boa Viagem;Rua Dona Magina Pontual;147;30;5008.88;5137.38;590259.68;337886.21;1451561.96;116.98;-8.13015;-34.904083
Rua Visconde De Jequitinhonha, 287 - Boa Viagem;Boa Viagem;Rua Visconde De Jequitinhonha;287;30;4446.31;4127.13;152731.85;118443.06;309718.5;35.25;-8.123369;-34.903602
Rua Arnoldo Magalhaes, 94 - Casa Amarela;Casa Amarela;Rua Arnoldo Magalhaes;94;30;7696.65;7410.23;655061.92;516725.58;916110.65;85.11;-8.027746;-34.909431
Rua Professor Mario Castro, 192 - Boa Viagem;Boa Viagem;Rua Professor Mario Castro;192;30;7733.46;7964.01;887414.57;637549.86;1084143.28;114.75;-8.136162;-34.903948
Rua Almirante Batista Leao, 53 - Boa Viagem;Boa Viagem;Rua Almirante Batista Leao;53;30;6087.92;6074.73;642105.4;481360.55;752303.65;105.45;-8.139988;-34.909392
Av Santos Dumont, 815 - Rosarinho;Rosarinho;Av Santos Dumont;815;30;7448.38;7009.51;750945.93;301630.5;1107793.1;100.82;-8.034253;-34.897062
Rua Cardeal Arcoverde, 276 - Gracas;Gracas;Rua Cardeal Arcoverde;276;30;7667.26;7693.01;334138.69;306606.4;377732.56;43.58;-8.048721;-34.900469
Rua Oros, 70 - Cordeiro;Cordeiro;Rua Oros;70;30;3876.69;3783.24;232950.5;180126.0;318281.64;60.09;-8.051725;-34.929665
Av Raimundo Diniz, 86 - Ipsep;Ipsep;Av Raimundo Diniz;86;30;3473.94;3514.73;141180.43;107309.89;178951.19;42.07;-8.112091;-34.919832
Rua Dos Navegantes, 972 - Boa Viagem;Boa Viagem;Rua Dos Navegantes;972;30;11666.0;11519.53;1110205.77;204608.0;1740908.32;95.17;-8.123792;-34.89724
Av Conselheiro Aguiar, 3150 - Boa Viagem;Boa Viagem;Av Conselheiro Aguiar;3150;30;4338.47;4504.9;700949.15;100525.67;1222538.8;163.47;-8.116608;-34.895207
Rua Professor Alvaro Lima, 80 - Casa Amarela;Casa Amarela;Rua Professor Alvaro Lima;80;30;7803.93;7885.43;739719.47;437818.79;1072462.2;95.3;-8.028136;-34.914082
Rua Simao Mendes, 200 - Tamarineira;Tamarineira;Rua Simao Mendes;200;30;12631.67;13708.78;2638755.79;112479.84;3607718.86;208.9;-8.035144;-34.90395
Rua Antonio Valdevino Costa, 94 - Cordeiro;Cordeiro;Rua Antonio Valdevino Costa;94;30;6104.69;5713.58;387769.81;300996.66;512300.05;63.52;-8.058317;-34.927172
Rua Hoel Sette, 139 - Jaqueira;Jaqueira;Rua Hoel Sette;139;30;12619.69;12970.72;831726.18;582187.9;2538935.08;64.92;-8.03657;-34.903104
Rua Mamanguape, 48 - Boa Viagem;Boa Viagem;Rua Mamanguape;48;30;10400.71;10066.7;1410232.24;1017026.24;1932679.17;135.59;-8.117105;-34.894586
Rua Dos Palmares, 79 - Santo Amaro;Santo Amaro;Rua Dos Palmares;79;30;3351.19;3238.62;225501.71;137968.87;413350.9;67.29;-8.053804;-34.882409
Rua Piaui, 183 - Poco;Poco;Rua Piaui;183;30;8226.04;7692.71;731653.69;451954.01;1006407.45;88.96;-8.029583;-34.924143
Rua Engenheiro Vasconcelos Bittencourt, 45 - Varzea;Varzea;Rua Engenheiro Vasconcelos Bittencourt;45;30;4461.75;4288.02;230895.39;170000.0;317916.7;51.75;-8.040052;-34.952211
Av Doutor Jose Rufino, 2125 - Barro;Barro;Av Doutor Jose Rufino;2125;29;6806.25;6838.8;462125.65;368383.33;536709.52;67.9;-8.091741;-34.944952
Rua Amalia Bernardino De Souza, 210 - Boa Viagem;Boa Viagem;Rua Amalia Bernardino De Souza;210;29;6778.77;6788.81;628742.3;469114.6;819955.09;92.76;-8.125756;-34.90866
Rua Padre Roma, 291 - Parnamirim;Parnamirim;Rua Padre Roma;291;29;10994.05;12274.4;2168905.6;657904.17;3014108.4;197.28;-8.034252;-34.906328
Rua Leonardo Bezerra Cavalcanti, 300 - Parnamirim;Parnamirim;Rua Leonardo Bezerra Cavalcanti;300;29;9260.95;9167.18;1941649.62;1456819.8;2368601.2;209.66;-8.03677;-34.909686
Av Conselheiro Aguiar, 1687 - Boa Viagem;Boa Viagem;Av Conselheiro Aguiar;1687;29;4472.63;4436.06;188923.84;100070.0;249782.9;42.24;-8.105036;-34.888224
Rua Dr Geraldo De Andrade, 75 - Espinheiro;Espinheiro;Rua Dr Geraldo De Andrade;75;29;7148.71;7504.24;933406.64;696629.25;1080599.58;130.57;-8.042918;-34.889907
Rua Senador Fabio De Barros, 55 - Madalena;Madalena;Rua Senador Fabio De Barros;55;29;6912.38;6784.28;438509.54;400000.0;562047.05;63.43;-8.061678;-34.905999
Rua Bruno Veloso, 603 - Boa Viagem;Boa Viagem;Rua Bruno Veloso;603;29;5787.59;5866.42;186476.09;32254.95;253267.82;32.59;-8.121443;-34.901823
Rua Guerra De Holanda, 161 - Monteiro;Monteiro;Rua Guerra De Holanda;161;29;7649.72;7480.87;858681.6;597466.58;1103085.11;112.25;-8.029125;-34.924421
Rua Teles Junior, 65 - Aflitos;Aflitos;Rua Teles Junior;65;29;7348.91;7278.91;980639.82;789291.02;1211705.24;133.41;-8.03798;-34.896366
Rua Teles Junior, 230 - Encruzilhada;Encruzilhada;Rua Teles Junior;230;29;7254.65;7149.99;836461.38;656645.1;1380485.12;115.3;-8.036981;-34.897544
Rua Capitao Rebelinho, 373 - Pina;Pina;Rua Capitao Rebelinho;373;29;8310.15;8464.23;623637.3;369386.06;1376028.55;75.2;-8.094347;-34.883504
Av Fernando Simoes Barbosa, 316 - Boa Viagem;Boa Viagem;Av Fernando Simoes Barbosa;316;29;6586.61;6088.7;526765.14;352662.45;773071.67;79.97;-8.120169;-34.901671
Rua Professora Anunciada Da Rocha Melo, 25 - Madalena;Madalena;Rua Professora Anunciada Da Rocha Melo;25;29;7125.36;6646.57;372097.94;293642.87;481999.63;52.27;-8.04889;-34.90665
Rua Ana Camelo Da Silva, 38 - Boa Viagem;Boa Viagem;Rua Ana Camelo Da Silva;38;29;8274.98;8207.78;1401368.99;505515.22;1975334.79;169.35;-8.106095;-34.891771
Rua Visconde De Itaparica, 174 - Torre;Torre;Rua Visconde De Itaparica;174;29;5554.29;5367.43;345254.37;259912.47;549615.3;62.16;-8.042111;-34.910263
Rua Vicencia, 94 - Pina;Pina;Rua Vicencia;94;29;8634.25;8630.22;408541.36;296425.22;525927.21;47.46;-8.096566;-34.884148
Av Boa Viagem, 5890 - Boa Viagem;Boa Viagem;Av Boa Viagem;5890;29;16612.01;16094.15;4167171.34;2571987.39;6366472.57;253.9;-8.140318;-34.903441
Av Boa Viagem, 4988 - Boa Viagem;Boa Viagem;Av Boa Viagem;4988;29;18566.75;18980.18;6943407.06;5255913.29;8750931.72;373.97;-8.132724;-34.90086
Rua Costa Gomes, 180 - Madalena;Madalena;Rua Costa Gomes;180;29;5649.8;5808.47;498121.3;409143.06;595565.76;88.22;-8.048172;-34.907266
Rua Izabel Magalhaes, 93 - Boa Viagem;Boa Viagem;Rua Izabel Magalhaes;93;29;7627.75;7760.15;523091.03;338012.36;722676.5;68.75;-8.139166;-34.906376
Av Governador Agamenon Magalhaes, 3341 - Torreao;Torreao;Av Governador Agamenon Magalhaes;3341;29;4715.3;3998.12;184395.93;131054.88;237616.92;39.13;-8.041658;-34.885161
Av Conselheiro Aguiar, 2738 - Boa Viagem;Boa Viagem;Av Conselheiro Aguiar;2738;29;6555.96;6081.79;291501.86;210044.42;430549.35;47.15;-8.113165;-34.893089
Rua Jose Paraiso, 26 - Boa Viagem;Boa Viagem;Rua Jose Paraiso;26;29;9778.05;9502.94;910060.3;673264.3;1288452.78;93.1;-8.134877;-34.903541
Av Dezessete De Agosto, 2666 - Monteiro;Monteiro;Av Dezessete De Agosto;2666;29;6129.7;5743.42;619494.88;500000.0;899837.07;101.11;-8.027371;-34.928062
Rua Jose Trajano, 373 - Boa Viagem;Boa Viagem;Rua Jose Trajano;373;29;7505.94;7436.92;681128.32;464825.83;832046.48;90.77;-8.120788;-34.900924
Rua Dom Manoel Da Costa, 321 - Madalena;Madalena;Rua Dom Manoel Da Costa;321;29;4875.54;4717.56;603201.49;452526.85;881301.7;123.72;-8.04807;-34.912085
Av Beira Rio Governador Eduardo Campos, 741 - Torre;Torre;Av Beira Rio Governador Eduardo Campos;741;29;6616.41;6803.27;392084.82;43070.2;524509.36;59.26;-8.044381;-34.909827
Av Charles Darwin, 183 - Boa Viagem;Boa Viagem;Av Charles Darwin;183;29;5854.97;6070.02;426586.8;159877.78;602230.42;72.86;-8.130351;-34.904441
Av Engenheiro Domingos Ferreira, 3647 - Boa Viagem;Boa Viagem;Av Engenheiro Domingos Ferreira;3647;29;10531.48;10545.26;1897238.65;834644.77;3420356.26;179.82;-8.120516;-34.89811
Rua Desembargador Martins Pereira, 84 - Rosarinho;Rosarinho;Rua Desembargador Martins Pereira;84;29;9198.95;9128.98;1080232.57;871832.26;1332213.04;117.43;-8.035879;-34.898781
Rua Antonio Lumack Do Monte, 96 - Boa Viagem;Boa Viagem;Rua Antonio Lumack Do Monte;96;29;7286.55;7082.12;2077979.11;501239.09;6212284.12;275.68;-8.117929;-34.902449
Rua Pessoa De Melo, 365 - Madalena;Madalena;Rua Pessoa De Melo;365;29;6358.49;6048.32;522244.19;166074.56;726308.94;82.15;-8.050237;-34.907698
Rua Maria Carolina, 586 - Boa Viagem;Boa Viagem;Rua Maria Carolina;586;29;6432.63;6256.76;699753.39;493861.77;1049168.69;108.9;-8.112967;-34.898359
Rua Carlos Pereira Falcao, 500 - Boa Viagem;Boa Viagem;Rua Carlos Pereira Falcao;500;29;6155.04;5901.39;762122.43;422765.32;1189160.18;123.41;-8.124962;-34.902395
Rua Joaquim Nabuco, 409 - Derby;Derby;Rua Joaquim Nabuco;409;29;4890.64;5211.74;189646.52;134912.04;545958.89;38.51;-8.052812;-34.89995
Rua Felix De Brito E Melo, 273 - Boa Viagem;Boa Viagem;Rua Felix De Brito E Melo;273;29;8041.97;7894.21;314283.72;83246.85;481041.0;39.59;-8.117741;-34.896359
Rua Doutor Carlos Mavignier, 99 - Casa Amarela;Casa Amarela;Rua Doutor Carlos Mavignier;99;29;6288.43;6188.53;436849.99;371823.33;513043.65;69.97;-8.026244;-34.915043
Rua Siqueira Campos, 279 - Santo Antonio;Santo Antonio;Rua Siqueira Campos;279;29;2630.8;2104.78;118255.24;37337.31;515381.11;50.02;-8.062808;-34.878988
Rua Jose De Holanda, 425 - Torre;Torre;Rua Jose De Holanda;425;29;7274.9;7101.65;801791.3;639119.42;1169086.09;110.23;-8.045005;-34.908123
Av Beira Rio Deputado Osvaldo Coelho, 360 - Ilha Do Retiro;Ilha Do Retiro;Av Beira Rio Deputado Osvaldo Coelho;360;29;7150.11;7354.86;1551073.02;508484.73;2746868.76;216.93;-8.063367;-34.906789
Rua Manoel De Arruda Camara, 120 - Prado;Prado;Rua Manoel De Arruda Camara;120;29;4067.7;3800.26;391891.18;289907.14;595273.61;96.38;-8.059925;-34.911461
Rua Dom Jose Lopes, 1136 - Boa Viagem;Boa Viagem;Rua Dom Jose Lopes;1136;29;4943.03;4468.6;332235.03;172556.47;450964.86;67.28;-8.127103;-34.909509
Av Conselheiro Aguiar, 1527 - Boa Viagem;Boa Viagem;Av Conselheiro Aguiar;1527;28;11633.0;11303.3;1384567.19;1156333.87;1658245.42;119.02;-8.103747;-34.887667
Rua Dr Genaro Guimaraes, 194 - Casa Amarela;Casa Amarela;Rua Dr Genaro Guimaraes;194;28;6817.12;6316.3;468182.38;320000.0;749890.72;68.49;-8.028991;-34.919939
Rua Jose Moreira Leal, 89 - Boa Viagem;Boa Viagem;Rua Jose Moreira Leal;89;28;6258.72;5910.36;457074.38;370440.59;588088.72;73.03;-8.135722;-34.904379
Rua Cruzeiro Do Forte, 211 - Boa Viagem;Boa Viagem;Rua Cruzeiro Do Forte;211;28;4098.51;4155.62;348127.75;56810.62;596146.69;84.94;-8.138094;-34.910922
Av Engenheiro Domingos Ferreira, 1967 - Boa Viagem;Boa Viagem;Av Engenheiro Domingos Ferreira;1967;28;5682.14;5127.27;809363.99;456047.01;1471153.68;152.59;-8.108037;-34.890511
Rua Dr Genaro Guimaraes, 210 - Casa Amarela;Casa Amarela;Rua Dr Genaro Guimaraes;210;28;6489.61;6495.33;533686.19;382803.96;683926.61;82.23;-8.028915;-34.920162
Rua Domicio Rangel, 70 - Boa Viagem;Boa Viagem;Rua Domicio Rangel;70;28;12433.17;13077.64;1538978.35;212223.88;1881160.04;123.78;-8.101934;-34.886606
Rua Conego Romeu, 314 - Boa Viagem;Boa Viagem;Rua Conego Romeu;314;28;7592.56;7113.11;880053.09;718420.44;1108688.08;115.91;-8.137959;-34.90721
Av Fernando Simoes Barbosa, 374 - Boa Viagem;Boa Viagem;Av Fernando Simoes Barbosa;374;28;5869.35;5877.26;649378.36;371030.92;1545917.91;109.78;-8.120756;-34.901719
Av Fernando Simoes Barbosa, 80 - Boa Viagem;Boa Viagem;Av Fernando Simoes Barbosa;80;28;6102.95;6230.08;399836.68;291044.3;586877.36;65.35;-8.118098;-34.901539
Rua Marques Do Parana, 160 - Espinheiro;Espinheiro;Rua Marques Do Parana;160;28;7498.88;7152.06;626006.89;485420.83;913210.55;83.48;-8.042167;-34.889303
Av Visconde De Albuquerque, 259 - Madalena;Madalena;Av Visconde De Albuquerque;259;28;6494.9;6407.88;353794.98;310963.02;432129.05;54.52;-8.055753;-34.907365
Rua Mario Bhering, 171 - Tamarineira;Tamarineira;Rua Mario Bhering;171;28;5280.53;5658.67;771062.54;324398.22;974722.38;146.02;-8.027326;-34.90216
Rua Esperanto, 449 - Ilha Do Leite;Ilha Do Leite;Rua Esperanto;449;28;6363.96;5805.46;395515.81;278976.58;559533.38;62.15;-8.064147;-34.893156
Rua Faustino Porto, 197 - Boa Viagem;Boa Viagem;Rua Faustino Porto;197;28;8805.06;8808.3;898793.38;51530.6;1238874.0;100.86;-8.11821;-34.89773
Rua Dos Andradas, 40 - Encruzilhada;Encruzilhada;Rua Dos Andradas;40;28;5264.18;5220.26;257491.27;175960.86;288876.21;49.19;-8.036033;-34.890978
Rua Desembargador Edmundo Jordao, 181 - Tamarineira;Tamarineira;Rua Desembargador Edmundo Jordao;181;28;6509.23;6565.91;360344.45;247653.68;460579.8;55.28;-8.029965;-34.90296
Rua Frei Jaboatao, 180 - Torre;Torre;Rua Frei Jaboatao;180;28;7923.75;7695.1;1676585.61;1166790.9;2384771.49;211.59;-8.03992;-34.907456
Rua Dois Irmaos, 447 - Apipucos;Apipucos;Rua Dois Irmaos;447;28;6673.3;6550.49;481551.08;300697.38;635023.16;72.77;-8.02057;-34.940072
Rua Visconde De Jequitinhonha, 2946 - Boa Viagem;Boa Viagem;Rua Visconde De Jequitinhonha;2946;28;9279.01;9491.7;1426916.59;464359.67;1768995.48;153.75;-8.145212;-34.907557
Rua Desembargador Joao Paes, 299 - Boa Viagem;Boa Viagem;Rua Desembargador Joao Paes;299;28;6255.14;5812.76;350740.64;277075.46;558930.82;56.07;-8.126545;-34.901351
Rua Dr Joao Coimbra, 335 - Madalena;Madalena;Rua Dr Joao Coimbra;335;28;4556.96;4882.6;412176.6;167449.68;528468.54;90.58;-8.052177;-34.911967
Rua Antonio De Sa Leitao, 98 - Boa Viagem;Boa Viagem;Rua Antonio De Sa Leitao;98;28;9795.29;9617.22;955546.1;787889.18;1195100.46;97.55;-8.10977;-34.896145
Rua Engenheiro Clovis Castro, 210 - Parnamirim;Parnamirim;Rua Engenheiro Clovis Castro;210;27;8365.27;8105.22;512049.81;397919.77;689998.82;61.21;-8.030583;-34.910584
Av Conselheiro Rosa E Silva, 707 - Gracas;Gracas;Av Conselheiro Rosa E Silva;707;27;7583.05;7751.81;1836387.24;598572.67;2525403.2;242.17;-8.045058;-34.897482
Rua Conde De Iraja, 160 - Torre;Torre;Rua Conde De Iraja;160;27;5819.18;6164.32;458417.55;358112.43;647632.89;79.02;-8.045461;-34.905239
Prc Da Independencia, 29 - Santo Antonio;Santo Antonio;Prc Da Independencia;29;27;3550.37;3666.58;182757.73;23525.56;1447490.11;44.21;-8.064687;-34.877751
Rua Professor Ageu Magalhaes, 50 - Parnamirim;Parnamirim;Rua Professor Ageu Magalhaes;50;27;5926.47;5934.49;446127.79;390897.44;514062.37;75.28;-8.033264;-34.912725
Rua Mamanguape, 159 - Boa Viagem;Boa Viagem;Rua Mamanguape;159;27;7684.66;7647.01;899182.17;315716.41;1202397.85;117.01;-8.116956;-34.895744
Rua Sant Anna, 267 - Santana;Santana;Rua Sant Anna;267;27;3963.67;2272.06;174718.74;98251.31;419994.74;44.08;-8.039846;-34.916051
Av Beira Rio, 590 - Gracas;Gracas;Av Beira Rio;590;27;8527.36;8373.49;1522114.09;998070.61;2909982.0;177.81;-8.050168;-34.90346
Rua Agrestina, 44 - Santana;Santana;Rua Agrestina;44;27;6783.01;6752.96;1100454.39;783117.16;1393542.97;169.9;-8.037907;-34.914981
Av Beira Mar, 58 - Boa Viagem;Boa Viagem;Av Beira Mar;58;27;9209.12;8998.98;564901.79;332687.96;904975.68;61.15;-8.151508;-34.908342
Rua Esmeraldino Bandeira, 125 - Gracas;Gracas;Rua Esmeraldino Bandeira;125;27;5985.84;6081.03;318683.65;139484.29;442443.43;53.26;-8.046408;-34.899754
