bairro_padronizado;ano_arquivo;total_transacoes;preco_m2_medio;preco_m2_mediana
Toto;2025;2;3776.99;3776.99
Varzea;2015;428;2687.67;2590.67
Varzea;2016;221;2548.3;2461.14
Varzea;2017;306;2704.19;2652.17
Varzea;2018;322;2658.82;2590.67
Varzea;2019;260;2562.42;2528.6
Varzea;2020;336;2442.34;2451.01
Varzea;2021;626;2995.63;3139.65
Varzea;2022;697;2786.5;2411.67
Varzea;2023;551;2940.86;2570.33
Varzea;2024;766;3562.72;3493.35
Varzea;2025;1095;3773.21;3328.11
Varzea;2026;868;3740.18;3242.62
Vasco Da Gama;2015;14;2558.5;2334.97
Vasco Da Gama;2016;20;2308.95;2207.26
Vasco Da Gama;2017;30;2766.47;2206.44
Vasco Da Gama;2018;19;2365.81;2246.38
Vasco Da Gama;2019;12;2233.16;2557.85
Vasco Da Gama;2020;12;2598.34;2681.72
Vasco Da Gama;2021;60;2195.51;2138.9
Vasco Da Gama;2022;277;2193.01;2138.9
Vasco Da Gama;2023;17;2800.88;2138.9
Vasco Da Gama;2024;26;2789.72;2630.36
Vasco Da Gama;2025;278;4144.85;4182.51
Vasco Da Gama;2026;106;4410.41;4751.95
Zumbi;2015;7;2038.47;2160.76
Zumbi;2016;6;2119.47;2100.49
Zumbi;2017;8;2012.19;2027.74
Zumbi;2018;7;2038.26;1794.5
Zumbi;2019;9;2033.51;2069.07
Zumbi;2020;9;2002.74;1932.6
Zumbi;2021;29;2551.28;2877.86
Zumbi;2022;17;2518.95;2183.06
Zumbi;2023;57;3876.87;4337.82
Zumbi;2024;34;3905.18;4321.01
Zumbi;2025;29;3798.98;3585.7
Zumbi;2026;10;2844.42;2530.15
